mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_events,n_pre,n_post,has_post_omori_fit
M2,30,30,stratified,1.5,186,0,185,True
M2,30,30,stratified,2.0,93,0,92,True
M2,30,30,stratified,2.5,40,0,39,True
M2,30,60,all,,1270,54,1215,True
M2,30,60,all,1.2,810,27,782,True
M2,30,60,all,1.5,486,16,469,True
M2,30,60,all,2.0,231,6,224,True
M2,30,60,all,2.5,99,2,96,True
M2,30,60,mainshock_window,,1270,54,1215,True
M2,30,60,mainshock_window,1.2,810,27,782,True
M2,30,60,mainshock_window,1.5,486,16,469,True
M2,30,60,mainshock_window,2.0,231,6,224,True
M2,30,60,mainshock_window,2.5,99,2,96,True
M2,30,60,stratified,,537,6,530,True
M2,30,60,stratified,1.2,341,1,339,True
M2,30,60,stratified,1.5,218,0,217,True
M2,30,60,stratified,2.0,114,0,113,True
M2,30,60,stratified,2.5,51,0,50,True
M2,30,90,all,,1357,57,1299,True
M2,30,90,all,1.2,859,27,831,True
M2,30,90,all,1.5,516,16,499,True
M2,30,90,all,2.0,242,6,235,True
M2,30,90,all,2.5,105,2,102,True
M2,30,90,mainshock_window,,1357,57,1299,True
M2,30,90,mainshock_window,1.2,859,27,831,True
M2,30,90,mainshock_window,1.5,516,16,499,True
M2,30,90,mainshock_window,2.0,242,6,235,True
M2,30,90,mainshock_window,2.5,105,2,102,True
M2,30,90,stratified,,583,9,573,True
M2,30,90,stratified,1.2,363,1,361,True
M2,30,90,stratified,1.5,231,0,230,True
M2,30,90,stratified,2.0,123,0,122,True
M2,30,90,stratified,2.5,57,0,56,True
M2,44,7,all,,960,6,953,False
M2,44,7,all,1.2,719,1,717,False
M2,44,7,all,1.5,471,1,469,False
M2,44,7,all,2.0,234,0,233,False
M2,44,7,all,2.5,113,0,112,False
M2,44,7,mainshock_window,,960,6,953,False
M2,44,7,mainshock_window,1.2,719,1,717,False
M2,44,7,mainshock_window,1.5,471,1,469,False
M2,44,7,mainshock_window,2.0,234,0,233,False
M2,44,7,mainshock_window,2.5,113,0,112,False
M2,44,7,stratified,,338,3,334,False
M2,44,7,stratified,1.2,253,0,252,False
M2,44,7,stratified,1.5,172,0,171,False
M2,44,7,stratified,2.0,92,0,91,False
M2,44,7,stratified,2.5,45,0,44,False
M2,44,30,all,,1557,56,1500,True
M2,44,30,all,1.2,1065,27,1037,True
M2,44,30,all,1.5,670,15,654,True
M2,44,30,all,2.0,326,6,319,True
M2,44,30,all,2.5,159,2,156,True
M2,44,30,mainshock_window,,1554,56,1497,True
M2,44,30,mainshock_window,1.2,1062,27,1034,True
M2,44,30,mainshock_window,1.5,668,15,652,True
M2,44,30,mainshock_window,2.0,325,6,318,True
