line_id,classification,eligible_for_propagation,n_activated_segments,activation_fraction,spearman_rho,slope_minutes_per_km,activation_span_km,activation_time_span_minutes
475,complex/indeterminate,False,0,0.0,,,0.0,
476,complex/indeterminate,False,0,0.0,,,0.0,
477,complex/indeterminate,False,0,0.0,,,0.0,
478,complex/indeterminate,False,0,0.0,,,0.0,
479,complex/indeterminate,False,0,0.0,,,0.0,
480,complex/indeterminate,False,0,0.0,,,0.0,
481,complex/indeterminate,False,0,0.0,,,0.0,
482,complex/indeterminate,False,0,0.0,,,0.0,
483,complex/indeterminate,False,0,0.0,,,0.0,
484,complex/indeterminate,False,0,0.0,,,0.0,
485,complex/indeterminate,False,0,0.0,,,0.0,
486,complex/indeterminate,False,0,0.0,,,0.0,
487,complex/indeterminate,False,0,0.0,,,0.0,
488,complex/indeterminate,False,0,0.0,,,0.0,
489,complex/indeterminate,False,0,0.0,,,0.0,
490,complex/indeterminate,False,0,0.0,,,0.0,
491,complex/indeterminate,False,0,0.0,,,0.0,
492,complex/indeterminate,False,0,0.0,,,0.0,
493,complex/indeterminate,False,0,0.0,,,0.0,
495,complex/indeterminate,False,0,0.0,,,0.0,
496,complex/indeterminate,False,0,0.0,,,0.0,
497,complex/indeterminate,False,0,0.0,,,0.0,
498,complex/indeterminate,False,0,0.0,,,0.0,
499,complex/indeterminate,False,0,0.0,,,0.0,
500,complex/indeterminate,False,0,0.0,,,0.0,
501,complex/indeterminate,False,0,0.0,,,0.0,
502,complex/indeterminate,False,0,0.0,,,0.0,
503,complex/indeterminate,False,0,0.0,,,0.0,
504,complex/indeterminate,False,0,0.0,,,0.0,
505,complex/indeterminate,False,0,0.0,,,0.0,
506,complex/indeterminate,False,0,0.0,,,0.0,
507,complex/indeterminate,False,0,0.0,,,0.0,
508,complex/indeterminate,False,0,0.0,,,0.0,
