domain_label,domain_flag_column,split_latitude_deg,period_days,event_index_within_window,event_time_days
Entire area,in_entire_corridor,,1.0,11,0.006943287037037
Entire area,in_entire_corridor,,1.0,12,0.0074483796296296
Entire area,in_entire_corridor,,1.0,13,0.0078310185185185
Entire area,in_entire_corridor,,1.0,14,0.0080388888888888
Entire area,in_entire_corridor,,1.0,15,0.0080986111111111
Entire area,in_entire_corridor,,1.0,16,0.0093576388888888
Entire area,in_entire_corridor,,1.0,17,0.0096259259259259
Entire area,in_entire_corridor,,1.0,18,0.009786574074074
Entire area,in_entire_corridor,,1.0,19,0.0100268518518518
Entire area,in_entire_corridor,,1.0,20,0.0124680555555555
Entire area,in_entire_corridor,,1.0,21,0.0168208333333333
Entire area,in_entire_corridor,,1.0,22,0.0225337962962963
Entire area,in_entire_corridor,,1.0,23,0.0241201388888888
Entire area,in_entire_corridor,,1.0,24,0.0255004629629629
Entire area,in_entire_corridor,,1.0,25,0.0278011574074074
Entire area,in_entire_corridor,,1.0,26,0.0287453703703703
