event_time,latitude,longitude,depth_km,magnitude,event_id,time_rel_sec_from_64,time_rel_min_from_64,time_rel_hr_from_64,x_km,y_km
2019-07-24 16:16:56.580000+00:00,35.62027379518505,-117.43357077423823,3.75719039,0.3,79487,1723387.54,28723.125666666667,478.7187611111111,460.73670359440854,3941.919123049581
2019-07-24 16:17:29.700000+00:00,35.58867379518505,-117.42479550474825,4.51204007,-0.11,79488,1723420.66,28723.677666666666,478.7279611111111,461.5162512107695,3938.4109539535025
2019-07-24 16:17:33.100000+00:00,36.18196879518505,-118.02267371131396,16.30656632,0.78,79489,1723424.06,28723.734333333334,478.72890555555557,408.0395702468837,4004.616292232325
2019-07-24 16:18:14.800000+00:00,35.54274279518505,-117.42679421232252,4.345102160000001,0.81,79490,1723465.76,28724.429333333333,478.7404888888889,461.3131090025526,3933.317640361139
2019-07-24 16:18:29.810000+00:00,35.87331379518505,-117.47758307565736,13.29442577,0.54,79491,1723480.77,28724.679500000002,478.74465833333335,456.88767711684494,3970.0025425826107
2019-07-24 16:18:51.150000+00:00,35.56526879518505,-117.35043682609827,3.72089954,0.13,79492,1723502.11,28725.03516666667,478.75058611111115,468.24346389185166,3935.7886421809358
2019-07-24 16:19:07.590000+00:00,36.10490579518505,-117.84885702742766,3.83703026,0.98,79493,1723518.55,28725.309166666666,478.75515277777777,423.59512649354605,3995.9176695966325
2019-07-24 16:19:12.390000+00:00,35.56833279518505,-117.38771704574371,10.33309241,0.45,79494,1723523.35,28725.389166666668,478.75648611111114,464.8664571424737,3936.1411201644914
2019-07-24 16:19:18.750000+00:00,35.56772279518505,-117.34364200201269,3.97493549,0.49,79495,1723529.71,28725.495166666668,478.7582527777778,468.860161806593,3936.0586393261215
2019-07-24 16:19:37.210000+00:00,35.64963179518505,-117.46587288588442,3.37976555,1.1,79496,1723548.17,28725.80283333333,478.76338055555556,457.8268944619633,3945.1885638308536
2019-07-24 16:19:59.690000+00:00,36.21107779518505,-118.0263058639236,14.57912186,1.08,79497,1723570.65,28726.177499999998,478.76962499999996,407.74711042074364,4007.848618217495
2019-07-24 16:20:24.540000+00:00,36.06681079518505,-117.85424122565952,2.84991914,1.0,79498,1723595.5,28726.591666666667,478.7765277777778,423.07337934145175,3991.696416212698
2019-07-24 16:20:52.270000+00:00,35.67923379518505,-117.50358601818208,3.5612198000000004,0.3,79499,1723623.23,28727.05383333333,478.78423055555555,454.4297135936178,3948.488549738517
2019-07-24 16:21:21.600000+00:00,36.06762479518505,-117.8384612854716,2.6902394000000003,0.96,79500,1723652.56,28727.542666666668,478.7923777777778,424.4952132019606,3991.774345645453
2019-07-24 16:22:15.480000+00:00,35.541322795185046,-117.301290110653,7.683860360000001,0.64,79501,1723706.44,28728.440666666665,478.8073444444444,472.6890264516058,3933.118133700897
2019-07-24 16:22:26.500000+00:00,35.65905579518505,-117.53556756437794,9.45485384,0.38,79502,1723717.46,28728.624333333333,478.8104055555555,451.5234287810098,3946.2659139492894
2019-07-24 16:22:43.450000+00:00,35.94000479518505,-117.6649249373588,3.5975106500000003,0.82,79503,1723734.41,28728.90683333333,478.81511388888885,440.0261152991034,3977.4984025842905
2019-07-24 16:23:14.120000+00:00,35.66750679518505,-117.52239217308755,5.905608710000001,1.14,79504,1723765.08,28729.418,478.82363333333336,452.7209846114743,3947.1967945471365
2019-07-24 16:23:36.690000+00:00,35.84974179518505,-117.49759236111004,5.383020470000001,0.33,79505,1723787.65,28729.794166666667,478.82990277777776,455.0680853291133,3967.3971003276392
2019-07-24 16:24:07.720000+00:00,35.65289079518505,-117.4853311204848,7.124981270000001,0.27,79506,1723818.68,28730.31133333333,478.8385222222222,456.067210560996,3945.558539827888
2019-07-24 16:24:26.990000+00:00,35.55714779518505,-117.44728724409823,2.81362829,0.32,79507,1723837.95,28730.6325,478.84387499999997,459.46275140313173,3934.923498537549
2019-07-24 16:24:29.980000+00:00,35.71811379518505,-117.53538482353336,6.399164270000001,0.49,79508,1723840.94,28730.682333333334,478.84470555555555,451.575677020686,3952.815971261292
2019-07-24 16:25:04.640000+00:00,35.72999079518505,-117.5716886815819,4.12009889,0.68,79509,1723875.6,28731.260000000002,478.8543333333334,448.2997175201486,3954.1517851775548
2019-07-24 16:25:52.670000+00:00,35.62486379518505,-117.48279810418344,4.32332765,0.55,79510,1723923.63,28732.0605,478.86767499999996,456.28124174706835,3942.4489580939667
