event_id,origin_time,latitude,longitude,depth_km,magnitude,dist_a_km,dist_b_km,nearest_mainshock,second_nearest_mainshock,nearest_dist_km,second_nearest_dist_km,nearest_margin_km,nearest_ratio,proj_km,pos_norm,cross_km,midpoint_dist_km,dt_a_days,dt_b_days,pair_name,in_corridor,in_core_segment,in_sideband,endpoint_a_near,endpoint_b_near,shared_overlap,outer_band,assignment,corridor_width_km,assignment_stable_across_widths
17892,2026-04-17 00:15:17.630000+00:00,39.517891,143.156576,13.39,0.9,32.72772654962808,177.29578338789602,M1,M3,32.72772654962808,36.03929474603733,3.3115681964092474,0.9081122918818113,26.482582833541063,0.13056974740249444,-19.292224017649776,77.3728156090262,158.67474988425926,129.41675289351852,M1_M2,True,True,False,True,False,False,False,endpoint_centered_corridor_adjacent,36.46616341836339,True
17893,2026-04-17 00:15:27.250000+00:00,38.896598,142.457308,38.66,0.8,106.54259711606822,230.7811880061335,M1,M3,106.54259711606822,121.11321253240591,14.570615416337688,0.8796942537343804,-2.0386036685969415,-0.010051133144210371,-106.64412938663668,148.57631701368362,158.67486122685185,129.4168642361111,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17894,2026-04-17 00:18:52.560000+00:00,39.452889,142.937939,21.6,1.3,49.20316375112648,177.28087266384574,M3,M1,47.157379625790405,49.20316375112648,2.045784125336077,0.9584216954892613,29.879611195062477,0.1473184587298953,-39.16143339107299,81.55027977742495,158.6772375,129.41924050925928,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,False
17895,2026-04-17 00:39:03.780000+00:00,40.351591,143.01167,16.61,1.6,113.73508199816983,91.78244776109608,M3,M2,57.996632308784875,91.78244776109608,33.785815452311205,0.6318924121499402,112.48569387066661,0.5545995542581821,17.660285940028146,20.845155422881042,158.69125624999998,129.43325925925924,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17896,2026-04-17 01:19:57.430000+00:00,39.783008,143.220101,7.85,0.9,48.98188591665275,153.60888154422776,M3,M1,8.489831696137253,48.98188591665275,40.4920542205155,0.1733259456482238,49.03423688535021,0.24175844042241298,0.5258097891855069,52.380036175735015,158.71965497685184,129.4616579861111,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17897,2026-04-17 01:35:17.870000+00:00,41.075704,143.109961,27.15,0.9,189.13350456785352,69.9879771317852,M2,M3,69.9879771317852,137.23933415440504,67.25135702261984,0.5099702469631864,177.3848708456887,0.8745785078792007,66.23340945695492,100.79085904178427,158.7303082175926,129.47231122685184,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,True
17898,2026-04-17 01:52:54+00:00,39.646932,143.23693,13.3,1.0,35.75368602892625,167.48759924155976,M3,M1,22.741647710190072,35.75368602892625,13.012038318736181,0.6360644240090689,35.28824099909304,0.17398517140459124,-5.995529680320117,66.39464932945627,158.74253194444444,129.4845349537037,M1_M2,True,True,False,False,False,False,True,corridor_like,36.46616341836339,True
17899,2026-04-17 02:33:39.890000+00:00,39.748625,142.374544,39.23,3.0,104.43192752686488,135.78644057871983,M3,M1,67.65044773857318,104.43192752686488,36.781479788291705,0.6477946863632317,82.83133724524352,0.4083916908370578,-63.79465410502964,66.4453558548044,158.7708408564815,129.51284386574076,M1_M2,False,False,True,False,False,False,False,regional_background,36.46616341836339,True
17900,2026-04-17 03:09:47.920000+00:00,39.557397,142.003955,52.3,1.2,130.1505574548033,158.69252030624637,M3,M1,103.59818117830676,130.1505574548033,26.552376276496545,0.7959872259039901,80.8784931470608,0.3987633867468229,-102.15861604770964,104.2016924062152,158.79593379629628,129.53793680555555,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17901,2026-04-17 03:14:01.710000+00:00,39.977478,141.66014,58.35,0.4,170.48822127148594,122.27589838915713,M2,M3,122.27589838915713,128.55541386673954,6.279515477582407,0.9511532397687137,135.92582567709073,0.6701687987039942,-103.23447809567995,108.85121452917478,158.79887118055555,129.54087418981482,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17902,2026-04-17 04:03:14.370000+00:00,39.552384,142.02474,52.66,0.8,128.31345768201962,158.98628266758234,M3,M1,102.08423964722579,128.31345768201962,26.22921803479383,0.7955848240034662,79.48836855917615,0.3919095153763836,-100.91281414837947,103.26676919897496,158.83304548611113,129.57504849537037,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17903,2026-04-17 04:32:44.180000+00:00,39.687646,143.44904,10.99,1.4,32.14884046992707,173.07289274782357,M3,M1,30.29285266121908,32.14884046992707,1.8559878087079937,0.9422689035878561,29.873639008056642,0.14728901345434595,11.976652047467335,72.5336122201182,158.85352939814814,129.5955324074074,M1_M2,True,True,False,True,False,False,False,endpoint_centered_corridor_adjacent,36.46616341836339,True
17904,2026-04-17 04:59:24.660000+00:00,40.944539,143.084359,17.91,0.9,175.24038346565675,66.92530054943582,M2,M3,66.92530054943582,122.75097695254463,55.825676403108815,0.5452119584784164,165.9648038260994,0.8182730003899996,56.87043424286557,86.0311457766784,158.87205347222223,129.6140564814815,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,True
17905,2026-04-17 06:00:01.800000+00:00,40.818571,143.02487,15.18,2.5,162.76360297838633,64.127806452314,M2,M3,64.127806452314,109.16578007509703,45.03797362278303,0.5874350589369615,156.51802062084025,0.7716965729837351,45.321108469825255,71.34925882426731,158.91415,129.65615300925924,M1_M2,False,False,True,False,False,False,True,outer_cluster,36.46616341836339,False
17906,2026-04-17 06:02:46.190000+00:00,38.913875,142.071533,44.47,0.9,135.1441218145923,229.1523568066425,M1,M3,135.1441218145923,139.12047681147163,3.976354996879337,0.9714179027558404,16.629191493597677,0.08198857892655297,-134.27252723398271,158.79916279189842,158.91605266203703,129.6580556712963,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17907,2026-04-17 06:45:03.630000+00:00,39.538196,143.563298,12.5,1.9,15.896630188093072,192.3218879950621,M1,M3,15.896630188093072,48.4746425334315,32.57801234533843,0.32793702763521454,10.558395099426523,0.0520571195707469,11.907643949785419,91.63025143322031,158.94542118055557,129.6874241898148,M1_M2,True,True,False,True,False,False,False,unique_M1,36.46616341836339,True
17908,2026-04-17 07:04:35.190000+00:00,39.533301,143.560107,10.25,1.6,15.29517011840934,192.62236954013255,M1,M3,15.29517011840934,48.662469834760756,33.36729971635142,0.3143114225469016,10.23012071549593,0.050438595287902406,11.393571224855197,91.89059693228539,158.95898090277777,129.70098391203703,M1_M2,True,True,False,True,False,False,False,unique_M1,36.46616341836339,True
17909,2026-04-17 07:07:59.250000+00:00,39.620911,142.324284,30.02,1.1,104.33938760844984,149.82106513231224,M3,M1,75.33298074649197,104.33938760844984,29.00640686195787,0.7219994526821546,72.86369625260726,0.3592472257828824,-74.84838544560013,80.10783697895606,158.96134270833332,129.70334571759258,M1_M2,False,False,False,False,False,False,False,regional_background,36.46616341836339,True
17910,2026-04-17 07:23:21.160000+00:00,39.617716,143.298177,11.76,1.0,29.938034483551355,172.86650955356728,M3,M1,27.707778560837053,29.938034483551355,2.230255922714303,0.9255042636837212,29.806697367822103,0.1469589643382506,-3.140929750837732,71.67379137274814,158.97201296296296,129.71401597222223,M1_M2,True,True,False,True,False,False,False,endpoint_centered_corridor_adjacent,36.46616341836339,True
