event_code,origin_time,latitude,longitude,depth_km,mag_1,mag_2,P_axis_azimuth,P_axis_dip,T_axis_azimuth,T_axis_dip,N_axis_azimuth,N_axis_dip,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,focal_mech_score,n_hypo_stations,n_mech_stations,has_geometry,has_mechanism_core
J2025121214220005,2025-12-12 05:22:00.050000+00:00,41.16133333333333,142.58783333333332,41.23,3.6,,,,,,,,,,,,,,,40,,False,False
J2025121214253919,2025-12-12 05:25:39.190000+00:00,40.86866666666667,142.93166666666667,16.02,3.8,,,,,,,,,,,,,,,34,,False,False
J2025121214550202,2025-12-12 05:55:02.020000+00:00,40.936,142.93383333333333,20.17,3.7,,,,,,,,,,,,,,,40,,False,False
J2025121216050894,2025-12-12 07:05:08.940000+00:00,40.99516666666667,143.05516666666668,17.31,4.2,4.1,,,,,,,,,,,,,,33,,False,False
J2025121216090029,2025-12-12 07:09:00.290000+00:00,40.89483333333333,142.953,15.93,3.5,,,,,,,,,,,,,,,37,,False,False
J2025121216554150,2025-12-12 07:55:41.500000+00:00,41.17816666666667,142.53766666666667,44.73,4.1,4.3,109.0,25.0,282.0,65.0,18.0,3.0,205.0,20.0,98.0,17.0,70.0,87.0,92.0,40,118.0,True,True
J2025121217373499,2025-12-12 08:37:34.990000+00:00,40.94283333333333,143.038,17.47,3.5,,,,,,,,,,,,,,,32,,False,False
J2025121218424938,2025-12-12 09:42:49.380000+00:00,40.839333333333336,143.01566666666668,18.28,3.6,,,,,,,,,,,,,,,32,,False,False
J2025121219143313,2025-12-12 10:14:33.130000+00:00,40.972,143.0035,18.89,4.1,,,,,,,,,,,,,,,35,,False,False
J2025121219235649,2025-12-12 10:23:56.490000+00:00,40.90466666666666,142.96416666666667,17.7,3.8,,,,,,,,,,,,,,,33,,False,False
