line_id,segment_id,global_segment_id,line_segment_count,line_total_length_km,segment_length_km,start_x_km,start_y_km,end_x_km,end_y_km,mid_x_km,mid_y_km,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,along_line_start_km,along_line_end_km,along_line_mid_km,raw_azimuth_deg,strike_deg
787,0,824,1,0.22450355069173025,0.22441517292786134,-11.20227127015723,11.992239296805256,-11.151562043140288,11.773628354408526,-11.176916656648759,11.88293382560689,-117.667396514837,35.84823794882231,-117.666832125502,35.8462682824553,-117.66711431667142,35.84725311605276,0.0,0.22450355069173025,0.11225177534586513,283.059434192049,166.94056580795097
788,0,825,1,0.09873653946234906,0.0983156658517583,-11.020028990827564,11.934459309400179,-11.007926422364319,11.836891394651184,-11.013977706595941,11.885675352025682,-117.66537834083802,35.8477192648323,-117.665243025245,35.84684006421761,-117.66531068266605,35.847279664560325,0.0,0.09873653946234906,0.04936826973117453,277.0709935306985,172.9290064693015
789,0,826,1,0.13528428528894432,0.13528324382620835,-12.053382934169806,13.06873445417067,-11.967146546226246,13.172969004366799,-12.010264740198025,13.120851729268734,-117.67683435112401,35.85792983549361,-117.67588118127098,35.858870307818506,-117.67635776900644,35.85840007261589,0.0,0.13528428528894432,0.06764214264447216,50.398019571946634,39.60198042805334
790,0,827,1,0.18359238940604775,0.1811913541638776,-11.964094016269742,13.19521927897246,-12.089355061494542,13.064299542595814,-12.026724538882142,13.129759410784136,-117.675847719297,35.8590708764199,-117.67723253495302,35.8578894235581,-117.67654013225241,35.85848015200575,0.0,0.18359238940604775,0.09179619470302387,226.26538143945496,43.734618560545044
791,0,828,1,0.5349517701254635,0.5338563726008179,-12.285275211594946,13.40959020020739,-11.834534316192615,13.695658848923756,-12.05990476389378,13.552624524565573,-117.679406896011,35.860998936551695,-117.67442074612102,35.86358267440101,-117.6769138614592,35.86229083140186,0.0,0.5349517701254635,0.26747588506273173,32.40179224902374,57.59820775097626
792,0,829,1,0.49074785058005077,0.48675152485389156,-12.741798610317765,13.66813918307418,-12.391118878772735,14.005705136379744,-12.566458744545251,13.836922159726962,-117.684465430535,35.8633233000303,-117.680587996339,35.8663701095929,-117.68252675046884,35.8648467205885,0.0,0.49074785058005077,0.24537392529002539,43.90842288607388,46.0915771139261
793,0,830,1,0.2657754321642204,0.26486142778180066,-14.273849931298535,15.30331526438673,-14.445899492786753,15.101943656858941,-14.359874712042643,15.202629460622836,-117.701457298615,35.878039272694295,-117.703358911485,35.8762218939253,-117.70240811588322,35.87713058712402,0.0,0.2657754321642204,0.1328877160821102,229.4898078187648,40.5101921812352
794,0,831,1,0.1360834309093179,0.13608335251274173,2.9804405531802303,-7.689227646061124,2.939623755921053,-7.819045471850229,2.9600321545506416,-7.754136558955677,-117.510470346829,35.670914174749406,-117.510921651813,35.66974427098139,-117.51069600096936,35.67032922310584,0.0,0.1360834309093179,0.06804171545465895,252.54601977453524,17.45398022546476
795,0,832,1,0.1308120486412215,0.1308120486412215,0.1487265816584472,-11.320339293005379,0.02191809358653398,-11.352454700874947,0.0853223376224906,-11.336396996940163,-117.541747951007,35.638191978776796,-117.543148009273,35.637902537372305,-117.5424479814031,35.63804726011374,0.0,0.1308120486412215,0.06540602432061075,194.21185847834147,75.78814152165853
796,0,833,1,0.10993128022815017,0.10993128022815019,15.44068221012428,-18.493438250814705,15.38827758287071,-18.590074897150423,15.414479896497495,-18.541756573982564,-117.37305110442499,35.5734206799205,-117.373631061924,35.5725505156938,-117.37334108474779,35.57298559817406,0.0,0.10993128022815017,0.054965640114075086,241.52967647619192,28.470323523808077
797,0,834,1,0.15909989241254463,0.1548100265502767,15.173101865647698,-17.838020835613776,15.156668698525204,-17.991956196524846,15.164885282086452,-17.91498851606931,-117.37599069141702,35.57933207211751,-117.376174879767,35.57794491282751,-117.37608278639516,35.578638492548485,0.0,0.15909989241254463,0.07954994620627232,263.9065421624002,6.093457837599772
