interval_id,r_km,azimuth_center_deg,K_value,L_value
1,3.0,112.5,330.8253995293832,7.261822219806044
1,3.0,117.5,404.34215498035735,8.344871322809537
1,3.0,122.5,441.10053270584433,8.849331641962205
1,3.0,127.5,367.58377725487026,7.816910386104048
1,3.0,132.5,551.3756658823055,10.247955519683346
1,3.0,137.5,404.34215498035735,8.344871322809537
1,3.0,142.5,330.8253995293832,7.261822219806044
1,3.0,147.5,404.34215498035735,8.344871322809537
1,3.0,152.5,404.34215498035735,8.344871322809537
1,3.0,157.5,441.10053270584433,8.849331641962205
1,3.0,162.5,257.3086440784092,6.050076530654531
1,3.0,167.5,257.3086440784092,6.050076530654531
1,3.0,172.5,294.06702180389624,6.674938771940859
1,3.0,177.5,441.10053270584433,8.849331641962205
1,5.0,2.5,698.4091767842535,9.910082010904926
1,5.0,7.5,845.4426876862017,11.404656829458911
1,5.0,12.5,698.4091767842535,9.910082010904926
1,5.0,17.5,624.8924213332795,9.103525641190204
1,5.0,22.5,661.6507990587664,9.512408157911288
1,5.0,27.5,955.7178208626626,12.441743914603684
1,5.0,32.5,808.6843099607147,11.044070888094843
1,5.0,37.5,1323.3015981175329,15.523644439612088
1,5.0,42.5,1323.3015981175329,15.523644439612088
1,5.0,47.5,1984.9523971762997,20.13622826967941
1,5.0,52.5,1617.3686199214294,17.689742645619074
1,5.0,57.5,735.1675545097405,10.297421371002736
1,5.0,62.5,771.9259322352276,10.675192363480322
1,5.0,67.5,955.7178208626626,12.441743914603684
1,5.0,72.5,918.9594431371756,12.103037033010075
1,5.0,77.5,404.34215498035735,6.344871322809537
1,5.0,82.5,441.10053270584433,6.8493316419622055
1,5.0,87.5,514.6172881568184,7.798740970166083
1,5.0,92.5,624.8924213332795,9.103525641190204
1,5.0,97.5,330.8253995293832,5.261822219806044
1,5.0,102.5,845.4426876862017,11.404656829458911
1,5.0,107.5,551.3756658823055,8.247955519683346
1,5.0,112.5,514.6172881568184,7.798740970166083
1,5.0,117.5,441.10053270584433,6.8493316419622055
1,5.0,122.5,882.2010654116887,11.757485513119608
1,5.0,127.5,698.4091767842535,9.910082010904926
1,5.0,132.5,882.2010654116887,11.757485513119608
