ot,lat,lon,dep,mag,source_day,ot_utc
2019-07-04T18:01:24.667000Z,35.66378,-117.33016,0.0,3.6,20190704,2019-07-04T18:01:24.667000Z
2019-07-04T18:01:26.280000Z,35.83809,-117.51697,0.0,3.53,20190704,2019-07-04T18:01:26.280000Z
2019-07-04T18:01:58.194000Z,35.70979,-117.48751,4.3,2.07,20190704,2019-07-04T18:01:58.194000Z
2019-07-04T18:02:05.594000Z,35.65906,-117.52841,5.59,2.1,20190704,2019-07-04T18:02:05.594000Z
2019-07-04T18:02:16.676000Z,35.7291,-117.47286,7.15,2.15,20190704,2019-07-04T18:02:16.676000Z
2019-07-04T18:02:25.308000Z,35.71521,-117.46457,11.21,2.45,20190704,2019-07-04T18:02:25.308000Z
2019-07-04T18:02:36.281000Z,35.74444,-117.52349,9.87,2.34,20190704,2019-07-04T18:02:36.281000Z
2019-07-04T18:02:53.792000Z,35.60785,-117.57374,9.56,2.63,20190704,2019-07-04T18:02:53.792000Z
2019-07-04T18:03:18.353000Z,35.75346,-117.52439,5.82,2.91,20190704,2019-07-04T18:03:18.353000Z
2019-07-04T18:03:40.093000Z,35.72665,-117.51445,5.95,2.36,20190704,2019-07-04T18:03:40.093000Z
2019-07-04T18:04:05.155000Z,35.6601,-117.52309,6.09,2.22,20190704,2019-07-04T18:04:05.155000Z
2019-07-04T18:04:27.935000Z,35.70596,-117.50956,5.95,2.52,20190704,2019-07-04T18:04:27.935000Z
2019-07-04T18:04:58.156000Z,35.72994,-117.45753,6.76,2.48,20190704,2019-07-04T18:04:58.156000Z
2019-07-04T18:05:07.652000Z,35.73115,-117.54719,5.68,2.73,20190704,2019-07-04T18:05:07.652000Z
2019-07-04T18:05:41.589000Z,35.72263,-117.51241,5.08,2.66,20190704,2019-07-04T18:05:41.589000Z
2019-07-04T18:05:55.778000Z,35.74103,-117.51037,8.5,2.69,20190704,2019-07-04T18:05:55.778000Z
2019-07-04T18:06:16.082000Z,35.66297,-117.51044,5.13,4.04,20190704,2019-07-04T18:06:16.082000Z
2019-07-04T18:07:09.153000Z,35.60518,-117.59823,11.12,3.89,20190704,2019-07-04T18:07:09.153000Z
2019-07-04T18:07:50.541000Z,35.73685,-117.52055,6.06,2.76,20190704,2019-07-04T18:07:50.541000Z
2019-07-04T18:08:14.854000Z,35.70989,-117.4601,0.0,2.53,20190704,2019-07-04T18:08:14.854000Z
2019-07-04T18:08:33.030000Z,35.67703,-117.48949,5.16,3.22,20190704,2019-07-04T18:08:33.030000Z
2019-07-04T18:08:44.919000Z,35.71625,-117.46118,4.68,3.36,20190704,2019-07-04T18:08:44.919000Z
2019-07-04T18:09:21.265000Z,35.70453,-117.47138,0.0,2.13,20190704,2019-07-04T18:09:21.265000Z
2019-07-04T18:09:32.453000Z,35.70822,-117.53345,8.09,2.09,20190704,2019-07-04T18:09:32.453000Z
2019-07-04T18:10:10.210000Z,35.73742,-117.49495,6.72,2.13,20190704,2019-07-04T18:10:10.210000Z
