node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,along_km,across_km,along_bin
2386,4.0,4.0,256,50,2.0068,0.8485628798422269,0.8657447113409994,0.1096546791841053,0.690304971525796,1.0951294182846005,moderately_uncertain,1.0,post_separator,5.0,-117.4993478458133,35.75751016481227,7.1806476143556015,-4.925329164297647,"(7.0, 8.0]"
2329,3.0,3.0,567,139,2.1105035971223023,0.7055921101578165,0.7099989296344325,0.060449976421898796,0.6004734306659235,0.8237743035879659,robust,1.0,post_separator,5.0,-117.51040877180007,35.748501011705564,7.260787000922641,-3.51338806116315,"(7.0, 8.0]"
2272,2.0,2.0,780,204,2.0927941176470584,0.726495074278503,0.7233105013714007,0.051777563050614914,0.6287329021734904,0.840296925306292,robust,1.0,post_separator,5.0,-117.52146720502104,35.739490828348266,7.340926387489682,-2.101446958028654,"(7.0, 8.0]"
2215,1.0,1.0,839,228,2.0756140350877192,0.7479917047434765,0.7547763191823095,0.05294212140662071,0.6491313389311082,0.8590809464862112,robust,1.0,post_separator,5.0,-117.53252314658216,35.73047961530287,7.421065774056721,-0.6895058548941577,"(7.0, 8.0]"
2158,0.0,0.0,828,221,2.086877828054299,0.7337569703040299,0.7401846893383525,0.049213294680217616,0.6460753125049706,0.8477936322356667,robust,1.0,post_separator,5.0,-117.54357659758901,35.7214673731316,7.501205160623762,0.7224352482403389,"(7.0, 8.0]"
2101,-1.0,-1.0,747,198,2.0858080808080808,0.735085548100905,0.7402025160814821,0.054507023792743345,0.6465706980386151,0.8554577682401473,robust,1.0,post_separator,5.0,-117.55462755914702,35.71245410239643,7.581344547190802,2.134376351374835,"(7.0, 8.0]"
2044,-2.0,-2.0,561,140,2.082,0.7398543132934445,0.7391735679426847,0.06657721625337375,0.6164759207834917,0.8792721384075145,robust,1.0,post_separator,5.0,-117.56567603236132,35.70343980365898,7.661483933757841,3.5463174545093317,"(7.0, 8.0]"
1987,-3.0,-3.0,212,48,2.0714583333333336,0.7533839946279753,0.7788617915827576,0.13353033335299877,0.5491533719108468,1.0887845285811992,exploratory,1.0,post_separator,5.0,-117.5767220183368,35.694424477480666,7.741623320324881,4.958258557643827,"(7.0, 8.0]"
2330,4.0,3.0,377,80,2.0025,0.8557526737009888,0.8577128875456276,0.08563121061531676,0.7074082851835827,1.042174832934835,moderately_uncertain,1.0,post_separator,5.0,-117.49935283118097,35.74849745711419,7.926687859206369,-4.259428306013919,"(7.0, 8.0]"
2273,3.0,2.0,614,145,2.082,0.7398543132934445,0.7504638396317123,0.06875979514776136,0.6362453386666606,0.8883378442542348,robust,1.0,post_separator,5.0,-117.51041250943875,35.73948828982164,8.006827245773408,-2.847487202879422,"(8.0, 9.0]"
