time,latitude,longitude,depth_km,magnitude,event_id,phase,pre_M1_sensitivity
2020-01-03 06:36:58.270,38.757,141.742,55.0,1.8,148,pre_M1_reference,pre_M1_reference_7d
2020-01-03 07:34:18.380,38.345,142.113,30.7,1.1,149,pre_M1_reference,pre_M1_reference_7d
2020-01-03 08:06:43.890,39.067,142.077,52.1,0.6,150,pre_M1_reference,pre_M1_reference_7d
2020-01-03 08:31:18.760,40.066,141.793,54.1,0.5,151,pre_M1_reference,pre_M1_reference_7d
2020-01-03 08:31:41.190,38.862,141.077,93.2,2.4,152,pre_M1_reference,pre_M1_reference_7d
2020-01-03 08:39:16.630,38.406,142.101,30.6,2.1,153,pre_M1_reference,pre_M1_reference_7d
2020-01-03 10:32:41.290,38.882,142.365,33.0,0.7,154,pre_M1_reference,pre_M1_reference_7d
2020-01-03 10:39:29.600,42.802,143.364,106.2,0.8,155,pre_M1_reference,pre_M1_reference_7d
2020-01-03 11:10:57.070,38.031,140.677,124.9,1.6,156,pre_M1_reference,pre_M1_reference_7d
2020-01-03 11:12:36.100,40.059,142.237,16.3,1.0,157,pre_M1_reference,pre_M1_reference_7d
2020-01-03 11:17:22.260,40.136,143.324,15.0,1.8,158,pre_M1_reference,pre_M1_reference_7d
2020-01-03 11:39:18.960,39.043,140.794,10.0,0.7,159,pre_M1_reference,pre_M1_reference_7d
2020-01-03 11:39:44.160,39.041,140.787,6.5,0.3,160,pre_M1_reference,pre_M1_reference_7d
2020-01-03 11:48:22.230,39.034,140.786,8.6,0.5,161,pre_M1_reference,pre_M1_reference_7d
2020-01-03 12:17:50.210,39.377,141.983,31.9,0.5,162,pre_M1_reference,pre_M1_reference_7d
2020-01-03 12:21:55.500,38.323,142.097,34.6,1.0,163,pre_M1_reference,pre_M1_reference_7d
2020-01-03 12:25:36.730,38.774,142.022,52.8,1.5,164,pre_M1_reference,pre_M1_reference_7d
2020-01-03 12:26:33.230,38.323,142.103,34.1,1.0,165,pre_M1_reference,pre_M1_reference_7d
2020-01-03 13:13:59.680,38.471,142.168,21.4,1.1,166,pre_M1_reference,pre_M1_reference_7d
2020-01-03 13:18:19.920,40.04,142.127,38.5,1.3,167,pre_M1_reference,pre_M1_reference_7d
2020-01-03 13:28:41.170,38.583,142.069,38.9,0.8,168,pre_M1_reference,pre_M1_reference_7d
2020-01-03 14:00:31.640,38.373,141.743,46.6,0.8,169,pre_M1_reference,pre_M1_reference_7d
2020-01-03 14:03:00.930,38.929,140.872,5.6,1.3,170,pre_M1_reference,pre_M1_reference_7d
2020-01-03 14:39:52.200,38.651,142.112,38.9,0.9,171,pre_M1_reference,pre_M1_reference_7d
2020-01-03 14:50:54.390,39.017,141.221,113.8,0.9,172,pre_M1_reference,pre_M1_reference_7d
2020-01-03 15:11:16.730,38.705,142.223,36.7,0.9,173,pre_M1_reference,pre_M1_reference_7d
2020-01-03 15:13:39.720,39.041,140.79,9.1,0.6,174,pre_M1_reference,pre_M1_reference_7d
2020-01-03 15:50:25.730,39.516,141.706,10.3,-0.1,175,pre_M1_reference,pre_M1_reference_7d
2020-01-03 15:52:37.890,39.409,142.663,31.1,1.5,176,pre_M1_reference,pre_M1_reference_7d
2020-01-03 16:25:41.600,39.45,142.625,30.3,1.0,177,pre_M1_reference,pre_M1_reference_7d
2020-01-03 16:28:14.740,38.136,144.6,16.0,2.7,178,pre_M1_reference,pre_M1_reference_7d
2020-01-03 16:40:09.960,39.047,142.357,28.8,0.6,179,pre_M1_reference,pre_M1_reference_7d
2020-01-03 16:49:27.700,38.399,142.295,36.3,0.9,180,pre_M1_reference,pre_M1_reference_7d
2020-01-03 17:01:11.650,39.041,140.797,9.3,0.3,181,pre_M1_reference,pre_M1_reference_7d
2020-01-03 17:09:19.940,38.312,141.589,60.0,2.0,182,pre_M1_reference,pre_M1_reference_7d
2020-01-03 17:12:24.440,38.644,141.988,40.5,0.7,183,pre_M1_reference,pre_M1_reference_7d
2020-01-03 17:48:47.340,41.182,140.964,7.2,1.4,184,pre_M1_reference,pre_M1_reference_7d
2020-01-03 17:51:24.430,39.371,141.988,32.6,0.5,185,pre_M1_reference,pre_M1_reference_7d
2020-01-03 18:36:26.240,38.398,142.22,31.2,1.5,186,pre_M1_reference,pre_M1_reference_7d
2020-01-03 19:55:27.790,38.857,144.134,39.0,2.3,187,pre_M1_reference,pre_M1_reference_7d
2020-01-03 20:13:32.930,39.08,142.344,35.7,1.0,188,pre_M1_reference,pre_M1_reference_7d
2020-01-03 20:53:55.330,38.45,141.97,36.3,0.8,189,pre_M1_reference,pre_M1_reference_7d
2020-01-03 21:21:31.250,42.988,144.035,95.6,0.9,190,pre_M1_reference,pre_M1_reference_7d
2020-01-03 21:21:41.970,38.309,141.846,60.3,0.7,191,pre_M1_reference,pre_M1_reference_7d
2020-01-03 21:35:14.700,38.973,140.572,1.8,0.6,192,pre_M1_reference,pre_M1_reference_7d
2020-01-03 22:33:02.660,38.868,140.853,6.7,1.6,193,pre_M1_reference,pre_M1_reference_7d
2020-01-03 22:50:14.640,38.903,142.401,37.0,3.6,194,pre_M1_reference,pre_M1_reference_7d
