fault_id,n_vertices,min_lon,max_lon,min_lat,max_lat,min_x_km,max_x_km,min_y_km,max_y_km,mean_strike_deg
129,5,-117.699561834278,-117.699042743278,35.6717033080001,35.6766833407297,-13.540051285633066,-13.493597339922449,-7.567509208059775,-7.014919474267623,177.40396262654374
130,4,-117.374323006601,-117.374319399421,35.5741252780592,35.5741438904283,15.92442369680167,15.924747578821298,-18.39000017127503,-18.387934895954327,4.400209761530527
131,3,-117.374314701362,-117.374310909821,35.5741396240444,35.5741611007542,15.925172102342572,15.925513121143233,-18.388406860844096,-18.386023643875273,4.743958085090821
132,4,-117.37493299696,-117.374924439911,35.575039600797,35.5750584209094,15.868946259350045,15.869725629109126,-18.288652423611676,-18.286565694319286,159.51968027457417
133,5,-117.374964059544,-117.374952306304,35.5750977230815,35.5751137903692,15.866119661767941,15.86718820499266,-18.282208195292192,-18.280427410935342,149.03237692904702
134,4,-117.375017349771,-117.37501581193,35.5750945151998,35.5751154181421,15.861290496710593,15.861428254268194,-18.282574609246932,-18.28025516627478,3.2022125435366835
135,7,-117.374999944292,-117.374975816381,35.5750674483041,35.5750941401825,15.862870774172109,15.865063115190473,-18.285571012264803,-18.282613416410893,143.55097475223275
136,3,-117.374975148184,-117.374969491449,35.5750634607102,35.5750741788303,15.865122354928562,15.865637225250621,-18.28601241848247,-18.284824145171864,156.55954189569096
137,7,-117.374974993501,-117.374958720269,35.5750454580815,35.5750784730931,15.865135528274951,15.866617132461366,-18.28800808969984,-18.284347667083676,157.94928283808306
138,8,-117.573010848572,-117.57106144483,35.6194100605259,35.6221334118275,-2.0846674508880154,-1.9079965005947974,-13.379580257130153,-13.077458658908542,30.186757422480355
139,2,-117.571247971417,-117.571214442892,35.6220752859458,35.6222901708547,-1.9248956943170383,-1.9218531325285007,-13.083904201546208,-13.06006294546225,7.272633599183194
140,2,-117.570729003241,-117.570683648631,35.6222113407808,35.6224023927563,-1.8778781590490448,-1.8737649411263684,-13.068818694062099,-13.047621959133153,10.981740470359286
141,13,-117.374959480196,-117.374925196241,35.5749948928001,35.5750580521874,15.866545762107195,15.86966590145145,-18.29361294638549,-18.28661088278837,155.96483914909035
142,4,-117.57328017574,-117.573053745334,35.6185364375066,35.6190997485546,-2.1090901004674456,-2.088567592740534,-13.476504684803121,-13.41400903207528,18.31895702522346
143,5,-117.374928569598,-117.3749211385,35.5750044723786,35.5750265390436,15.8693582317045,15.870027464971795,-18.292550626825847,-18.29010110585788,15.26493113405142
144,7,-117.589781119203,-117.582773148562,35.6175737348401,35.6198831030229,-3.604052246101195,-2.9690653296472345,-13.582838347833851,-13.326844026706556,68.05500798086011
145,18,-117.702205236882,-117.701938692217,35.8978871213936,35.8982506021836,-13.741067047975628,-13.71694082276244,17.52914231495889,17.569435722614287,30.678611511418364
146,3,-117.580319540814,-117.57985861938,35.6170235431021,35.6171775609957,-2.746879970735501,-2.7051163693756783,-13.644189169925932,-13.62711338591038,67.61969490196844
147,20,-117.669542804457,-117.66914743011,35.8507991820367,35.8513299655056,-10.79861823510372,-10.762974704929945,12.300289332976044,12.359226549575029,149.22413026517978
148,13,-117.616360016601,-117.616247633721,35.6036086664069,35.6042942663673,-6.013016467116991,-6.002874753084864,-15.130991001127622,-15.054917721227042,174.55684369993816
