event_time,latitude,longitude,depth_km,magnitude,event_time_raw,within_intermainshock_window,x_m,y_m
2019-07-05T02:06:20.110000+0000,35.71731179518505,-117.51025376561137,9.83227868,2.01,2019-07-05 02:06:20.110000+00:00,True,453848.2805841942,3952714.9115853305
2019-07-05T02:06:26.330000+0000,35.67104679518505,-117.50999842814257,4.991079290000001,2.19,2019-07-05 02:06:26.330000+00:00,True,453844.72596818884,3947583.523021596
2019-07-05T02:06:41.880000+0000,35.63314379518505,-117.5412046995678,10.231478030000002,2.21,2019-07-05 02:06:41.880000+00:00,True,450997.3613857378,3943394.8176085944
2019-07-05T02:07:11.430000+0000,35.67002579518505,-117.55557935457551,7.313693690000001,1.51,2019-07-05 02:07:11.430000+00:00,True,449718.9345768184,3947492.6529283077
2019-07-05T02:07:49.430000+0000,35.68545579518505,-117.47410246676304,9.46211201,1.53,2019-07-05 02:07:49.430000+00:00,True,457101.07730300963,3949165.3544829343
2019-07-05T02:08:05.350000+0000,35.664743795185046,-117.51615897404592,2.92975901,1.57,2019-07-05 02:08:05.350000+00:00,True,453283.5145224803,3946887.369226637
2019-07-05T02:08:19.710000+0000,35.698948795185046,-117.4734684400271,2.37813809,2.57,2019-07-05 02:08:19.710000+00:00,True,457165.66249814077,3950661.588312016
2019-07-05T02:09:05.450000+0000,35.73344179518505,-117.5459979309922,3.72815771,1.72,2019-07-05 02:09:05.450000+00:00,True,450625.1965559131,3954521.3062008303
2019-07-05T02:09:35.270000+0000,35.73877579518505,-117.5406923165741,5.93464139,1.22,2019-07-05 02:09:35.270000+00:00,True,451108.25068543194,3955110.2498485134
2019-07-05T02:09:38.350000+0000,35.68041779518505,-117.49606710353308,4.12009889,1.66,2019-07-05 02:09:38.350000+00:00,True,455110.78061271005,3948616.405221944
2019-07-05T02:09:58.730000+0000,35.68834879518505,-117.47498167538352,7.10320676,1.95,2019-07-05 02:09:58.730000+00:00,True,457023.0737001117,3949486.6016401625
2019-07-05T02:10:16.710000+0000,35.67429779518505,-117.50474966241455,2.9950825400000003,1.54,2019-07-05 02:10:16.710000+00:00,True,454321.59994110157,3947941.6382838306
2019-07-05T02:10:34.370000+0000,35.72558779518505,-117.54632236343043,3.96041915,1.28,2019-07-05 02:10:34.370000+00:00,True,450591.00719531864,3953650.3727284903
2019-07-05T02:10:45.600000+0000,35.73780779518505,-117.5413592465922,6.827396300000001,1.35,2019-07-05 02:10:45.600000+00:00,True,451047.350880161,3955003.2202775697
2019-07-05T02:11:04.130000+0000,35.56491879518505,-117.60662980101034,7.313693690000001,1.71,2019-07-05 02:11:04.130000+00:00,True,445026.8299986713,3935862.606810841
2019-07-05T02:11:33.970000+0000,35.63654979518505,-117.5551859445514,9.48388652,2.07,2019-07-05 02:11:33.970000+00:00,True,449733.56870443304,3943779.6322108
2019-07-05T02:11:59.960000+0000,35.74354479518505,-117.5637476613995,4.27252046,1.47,2019-07-05 02:11:59.960000+00:00,True,449026.505157728,3955650.92368991
2019-07-05T02:12:26.790000+0000,35.70606879518505,-117.47037695386148,2.4362034500000003,1.36,2019-07-05 02:12:26.790000+00:00,True,457449.13238880533,3951449.925487049
2019-07-05T02:12:37.040000+0000,35.723911795185046,-117.54757524234442,3.72815771,1.49,2019-07-05 02:12:37.040000+00:00,True,450476.6593131825,3953465.117249434
2019-07-05T02:13:02.920000+0000,35.73229379518505,-117.54228684801936,5.60802374,1.39,2019-07-05 02:13:02.920000+00:00,True,450960.09063603036,3954392.118636078
2019-07-05T02:13:36.980000+0000,35.62094179518505,-117.58164982225176,5.970932240000001,1.08,2019-07-05 02:13:36.980000+00:00,True,447327.270728272,3942062.4053702992
