node_id,x_km,y_km,n_total,n_ge_mc,mean_mag_ge_mc,b_value,b_boot_mean,b_boot_std,b_ci_low,b_ci_high,reliability_class,valid_flag,window_name,radius_km,longitude,latitude,is_low_abs,is_low_q20,dist_to_mw71_km,dist_to_mw64_km
2333,7.0,3.0,229,93,2.040860215053763,0.7956148294494719,0.803072472691641,0.07917318467668741,0.6674059259298826,0.973380557316109,moderately_uncertain,1.0,full_interevent,5.0,-117.46618501718713,35.748480699758346,True,False,11.862194949594116,5.51583303189675
2334,8.0,3.0,164,70,2.0855714285714284,0.7353801096571755,0.743773919558334,0.08304261932017575,0.6031238294349471,0.9125410261591731,moderately_uncertain,1.0,full_interevent,5.0,-117.45512908274642,35.74847308278029,True,False,12.830582815774482,6.03627794710772
2335,9.0,3.0,104,39,2.1700000000000004,0.6433992324492616,0.6601965457861422,0.10257032690505351,0.4883178416619735,0.871303926497349,exploratory,1.0,full_interevent,5.0,-117.44407315055241,35.74846445020662,True,False,13.803479335396519,6.666999990529078
2373,-9.0,4.0,118,36,2.4091666666666667,0.47507144784311955,0.4840309539382782,0.06283364616321313,0.3868746370836523,0.6267585047376637,exploratory,1.0,full_interevent,5.0,-117.64309126168759,35.757477151827025,True,True,4.99621303836265,14.732816433680648
2374,-8.0,4.0,192,49,2.3708163265306124,0.4958739278401337,0.5049842929468121,0.05410102144923028,0.4094355729542943,0.6260056763100678,exploratory,1.0,full_interevent,5.0,-117.63203408315688,35.75748578599024,True,True,4.107837763955174,13.822739145607368
2375,-7.0,4.0,400,125,2.16824,0.6450812220058996,0.6532951323832827,0.05620751570348703,0.5564622811892929,0.7784855584030541,robust,1.0,full_interevent,5.0,-117.62097690237827,35.757493404370834,True,False,3.284283402090558,12.925956634094128
2376,-6.0,4.0,618,204,2.1966176470588237,0.6189902487826686,0.6227586559564371,0.040864800855582,0.5448210716597903,0.7009436183443023,robust,1.0,full_interevent,5.0,-117.6099197196327,35.757500006968264,True,True,2.588185432985594,12.045438652264089
2377,-5.0,4.0,793,249,2.186385542168675,0.6281509453336219,0.6312485702595168,0.03955365204117255,0.560898215063741,0.7150603490884829,robust,1.0,full_interevent,5.0,-117.59886253520119,35.7575055937822,True,True,2.147298350437153,11.185027033692561
2378,-4.0,4.0,1007,326,2.185184049079754,0.6292444493353787,0.6305280213204348,0.031906068833198645,0.5723689185213747,0.6912993498304474,robust,1.0,full_interevent,5.0,-117.5878053493647,35.75751016481227,True,True,2.1267525892922783,10.349737540798275
2379,-3.0,4.0,1222,408,2.1638235294117645,0.6493409140154163,0.648797708192874,0.03181095586431685,0.5899963491556866,0.7195802956961731,robust,1.0,full_interevent,5.0,-117.57674816240427,35.75751372005814,True,False,2.5367820060723987,9.54616700997761
2380,-2.0,4.0,1301,442,2.15762443438914,0.6554157368247657,0.655587710974534,0.03042540453209576,0.6024244461946938,0.7153307434971801,robust,1.0,full_interevent,5.0,-117.56569097460083,35.757516259519655,True,False,3.2167451432471297,8.783025788494564
2381,-1.0,4.0,1343,453,2.145562913907285,0.667567229270535,0.6688217077430916,0.03069991675099014,0.6125669927676575,0.7331811968998027,robust,1.0,full_interevent,5.0,-117.55463378623543,35.75751778319662,True,False,4.03232385689385,8.071789109010238
