time,latitude,longitude,depth_km,magnitude
2019-03-01 20:04:49.090000+00:00,36.07738,-117.86972,5.312,0.89
2019-03-02 02:33:52.358000+00:00,36.07825,-117.85144,2.475,1.11
2019-03-02 02:33:57.977000+00:00,36.07821,-117.85154,2.488,0.86
2019-03-02 05:02:07.290000+00:00,35.08177,-118.36294,8.824,1.78
2019-03-02 06:15:06.077000+00:00,36.0773,-117.86978,5.308,1.61
2019-03-02 15:46:47.619000+00:00,36.08808,-117.65612,3.883,0.14
2019-03-02 18:28:31.524000+00:00,36.02086,-117.8095,1.672,1.06
2019-03-02 18:32:31.088000+00:00,35.64679,-118.31678,7.795,0.97
2019-03-02 19:19:17.798000+00:00,36.02249,-117.77335,2.1,0.42
2019-03-03 05:13:19.884000+00:00,35.67574,-118.00135,11.402,0.88
2019-03-03 05:13:50.241000+00:00,35.676,-118.00135,11.449,0.36
2019-03-03 12:46:43.581000+00:00,36.05842,-117.65569,2.725,2.27
2019-03-03 13:03:09.909000+00:00,36.05894,-117.65522,2.771,2.04
2019-03-03 14:09:24.722000+00:00,36.05911,-117.65451,2.69,2.23
2019-03-03 15:43:26.537000+00:00,36.05837,-117.6548,2.625,1.29
2019-03-04 06:55:58.352000+00:00,35.99042,-117.91696,5.979,0.95
2019-03-04 10:08:57.294000+00:00,36.223,-117.97653,7.138,0.48
2019-03-04 15:35:56.115000+00:00,36.04597,-117.38185,3.724,1.19
2019-03-04 17:13:48.680000+00:00,36.08835,-117.60044,3.844,0.14
2019-03-04 20:23:12.824000+00:00,35.45134,-118.46876,2.529,1.31
2019-03-05 00:36:19.716000+00:00,36.06193,-117.65414,2.45,0.53
2019-03-05 01:04:43.491000+00:00,36.06152,-117.65243,2.691,0.59
2019-03-05 06:41:11.407000+00:00,36.00988,-117.81241,2.285,0.03
2019-03-05 10:02:53.437000+00:00,36.02587,-117.88146,2.293,0.77
2019-03-05 17:34:17.281000+00:00,35.48817,-118.28878,4.741,1.0
2019-03-05 21:42:43.576000+00:00,35.45119,-118.46838,2.553,1.48
2019-03-05 23:24:54.380000+00:00,36.1885,-117.59467,3.86,-0.3
2019-03-06 00:43:00.945000+00:00,36.19293,-117.58125,4.307,1.2
2019-03-06 01:10:30.746000+00:00,36.00316,-117.68312,3.534,1.22
2019-03-06 01:13:51.997000+00:00,36.17952,-117.57919,2.096,1.49
2019-03-06 03:39:35.716000+00:00,35.73938,-118.03513,4.77,0.64
2019-03-06 03:40:37.394000+00:00,35.73928,-118.03512,4.766,0.8
2019-03-06 06:33:13.199000+00:00,35.48809,-118.28872,4.772,1.19
2019-03-06 14:42:25.210000+00:00,35.96283,-117.67333,6.22,-0.21
2019-03-07 08:01:50.142000+00:00,36.03117,-117.81705,1.955,0.58
2019-03-07 23:00:21.137000+00:00,35.91301,-117.67038,6.122,0.58
2019-03-07 23:36:31.318000+00:00,35.8221,-117.54467,2.506,0.65
2019-03-08 01:52:40.142000+00:00,36.08499,-117.61397,3.922,0.45
2019-03-08 08:49:17.507000+00:00,35.39106,-118.34003,7.559,1.17
2019-03-08 17:43:52.923000+00:00,35.99189,-117.68077,3.985,1.15
2019-03-08 17:43:57.335000+00:00,35.99192,-117.68071,3.977,1.28
2019-03-08 17:59:50.208000+00:00,36.08827,-117.59461,3.5,-0.22
2019-03-08 23:37:41.680000+00:00,35.96292,-117.98878,7.182,0.57
2019-03-09 01:47:58.963000+00:00,36.11373,-117.83685,1.934,0.32
2019-03-09 16:25:26.916000+00:00,36.00331,-117.68333,3.613,0.6
2019-03-09 19:04:30.119000+00:00,35.99916,-117.68748,4.797,-0.22
2019-03-09 19:24:57.957000+00:00,36.0039,-117.68286,3.779,0.81
2019-03-09 19:48:54.427000+00:00,36.01089,-117.80577,2.108,0.39
2019-03-09 19:49:38.819000+00:00,36.01035,-117.80567,2.135,0.55
2019-03-10 06:19:56.340000+00:00,36.08309,-117.84118,3.169,0.49
2019-03-10 11:08:40.883000+00:00,35.48986,-118.28641,5.224,1.11
2019-03-10 16:27:41.416000+00:00,36.00781,-117.80681,2.195,-0.11
2019-03-11 01:00:35.082000+00:00,36.18294,-117.57856,2.497,0.02
2019-03-11 09:37:47.179000+00:00,35.01545,-118.35336,11.849,1.07
2019-03-11 10:03:29.520000+00:00,36.02701,-117.81937,1.615,0.52
2019-03-11 21:08:29.130000+00:00,35.96283,-117.74083,4.01,0.35
2019-03-11 23:17:39.169000+00:00,36.07207,-117.64644,7.738,0.64
2019-03-12 03:13:35.183000+00:00,36.12196,-117.66939,4.628,1.14
2019-03-12 07:16:49.979000+00:00,35.37338,-117.85614,7.359,1.01
2019-03-12 12:23:18.404000+00:00,35.51447,-118.37867,9.484,1.43
2019-03-12 20:49:04.820000+00:00,35.98617,-117.54,3.12,-0.37
2019-03-13 12:18:14.013000+00:00,36.00845,-117.80512,2.566,0.83
2019-03-13 12:33:45.314000+00:00,36.06892,-117.68785,3.134,1.35
