mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,n_total,n_post,rate_ratio,moving_rate_max,post_omori_p,radial_iqr_km,depth_iqr_km,baseline_rate_ratio,baseline_moving_rate_max,baseline_post_omori_p,rate_ratio_delta,sparse_flag
M1,50.0,30.0,all,2.5,620,514,4.895238095238095,68.28571428571429,0.9225462574496396,,,5.408496732026144,271.0,0.6383674259945586,-0.5132586367880494,False
M1,50.0,30.0,mainshock_window,,3261,2717,5.003683241252301,278.0,0.5423577260596635,,,5.408496732026144,271.0,0.6383674259945586,-0.40481349077384277,False
M1,50.0,30.0,mainshock_window,1.2,3135,2621,5.109161793372319,270.2857142857143,0.5532873506731576,,,5.408496732026144,271.0,0.6383674259945586,-0.2993349386538249,False
M1,50.0,30.0,mainshock_window,1.5,2558,2161,5.457070707070708,235.8571428571429,0.6114404977773245,,,5.408496732026144,271.0,0.6383674259945586,0.04857397504456351,False
M1,50.0,30.0,mainshock_window,2.0,1272,1084,5.796791443850268,132.85714285714286,0.7863223483930932,,,5.408496732026144,271.0,0.6383674259945586,0.38829471182412423,False
M1,50.0,30.0,mainshock_window,2.5,620,514,4.895238095238095,68.28571428571429,0.9225462574496396,,,5.408496732026144,271.0,0.6383674259945586,-0.5132586367880494,False
M1,50.0,30.0,stratified,,3256,2712,4.994475138121547,277.57142857142856,0.5423351814680845,,,5.408496732026144,271.0,0.6383674259945586,-0.4140215939045975,False
M1,50.0,30.0,stratified,1.2,3130,2616,5.099415204678363,269.85714285714283,0.5532813573376275,,,5.408496732026144,271.0,0.6383674259945586,-0.3090815273477814,False
M1,50.0,30.0,stratified,1.5,2554,2157,5.446969696969698,235.42857142857144,0.6112994416959976,,,5.408496732026144,271.0,0.6383674259945586,0.03847296494355401,False
M1,50.0,30.0,stratified,2.0,1270,1082,5.786096256684492,132.57142857142858,0.7858913772939119,,,5.408496732026144,271.0,0.6383674259945586,0.3775995246583479,False
M1,50.0,30.0,stratified,2.5,620,514,4.895238095238095,68.28571428571429,0.9225462574496396,,,5.408496732026144,271.0,0.6383674259945586,-0.5132586367880494,False
M1,50.0,60.0,all,,3666,3095,5.429824561403509,281.2857142857143,0.6034731248427403,,,5.408496732026144,271.0,0.6383674259945586,0.021327829377365326,False
M1,50.0,60.0,all,1.2,3505,2968,5.537313432835821,273.1428571428572,0.615856023169904,,,5.408496732026144,271.0,0.6383674259945586,0.12881670080967655,False
M1,50.0,60.0,all,1.5,2823,2413,5.899755501222495,237.57142857142856,0.6719237039229105,,,5.408496732026144,271.0,0.6383674259945586,0.49125876919635125,False
M1,50.0,60.0,all,2.0,1371,1177,6.098445595854923,133.0,0.8323313106841254,,,5.408496732026144,271.0,0.6383674259945586,0.6899488638287785,False
M1,50.0,60.0,all,2.5,666,554,4.990990990990991,66.57142857142857,0.9453910010625804,,,5.408496732026144,271.0,0.6383674259945586,-0.4175057410351535,False
M1,50.0,60.0,mainshock_window,,3666,3095,5.429824561403509,281.2857142857143,0.6034731248427403,,,5.408496732026144,271.0,0.6383674259945586,0.021327829377365326,False
M1,50.0,60.0,mainshock_window,1.2,3505,2968,5.537313432835821,273.1428571428572,0.615856023169904,,,5.408496732026144,271.0,0.6383674259945586,0.12881670080967655,False
M1,50.0,60.0,mainshock_window,1.5,2823,2413,5.899755501222495,237.57142857142856,0.6719237039229105,,,5.408496732026144,271.0,0.6383674259945586,0.49125876919635125,False
M1,50.0,60.0,mainshock_window,2.0,1371,1177,6.098445595854923,133.0,0.8323313106841254,,,5.408496732026144,271.0,0.6383674259945586,0.6899488638287785,False
