interval_id,geometry_type,component_id,vertex_id,longitude,latitude,elapsed_mid_hr
M_14,alpha,5,14,-117.51937261154728,35.65971079518505,13.5
M_14,alpha,5,15,-117.53044886888108,35.66328379518506,13.5
M_14,alpha,5,16,-117.5377321059449,35.666574795185035,13.5
M_14,alpha,5,17,-117.52521647598833,35.67171079518505,13.5
M_14,alpha,5,18,-117.52288183956674,35.67675579518505,13.5
M_14,alpha,5,19,-117.52389986232355,35.69094079518505,13.5
M_14,alpha,5,20,-117.5076557311313,35.689121795185045,13.5
M_14,alpha,5,21,-117.50244844644892,35.699037795185056,13.5
M_14,alpha,5,22,-117.50303481643638,35.704164795185044,13.5
M_14,alpha,5,23,-117.50198543090761,35.712676795185054,13.5
M_14,alpha,5,24,-117.4910068995828,35.705316795185055,13.5
M_14,alpha,5,25,-117.48405676533835,35.70345679518505,13.5
M_14,alpha,5,26,-117.46813925964976,35.71030479518506,13.5
M_14,alpha,5,27,-117.45681916623172,35.70901079518505,13.5
M_14,alpha,5,28,-117.46787111865868,35.708351795185045,13.5
M_14,alpha,5,29,-117.47415252863621,35.70017679518506,13.5
M_14,alpha,5,30,-117.47498980801328,35.69018779518505,13.5
M_14,alpha,5,31,-117.47088039516254,35.68446279518505,13.5
M_14,alpha,5,32,-117.46752672785313,35.67520579518506,13.5
M_14,alpha,6,0,-117.55521104869275,35.74889979518505,13.5
M_14,alpha,6,1,-117.5550719012127,35.74686079518505,13.5
M_14,alpha,6,2,-117.54083036248348,35.739410795185066,13.5
M_14,alpha,6,3,-117.53388895451792,35.74759779518505,13.5
M_14,alpha,6,4,-117.5270521468304,35.736427795185065,13.5
M_14,alpha,6,5,-117.52505758980726,35.72872079518505,13.5
M_14,alpha,6,6,-117.51676521207447,35.72349279518505,13.5
M_14,alpha,6,7,-117.51127990695376,35.71926879518505,13.5
M_14,alpha,6,8,-117.50198543090761,35.712676795185054,13.5
M_14,alpha,6,9,-117.51401383675034,35.71829679518505,13.5
M_14,alpha,6,10,-117.52626983494471,35.718271795185046,13.5
M_14,alpha,6,11,-117.5361974376948,35.71277079518506,13.5
M_14,alpha,6,12,-117.54331780763123,35.70404279518503,13.5
M_14,alpha,6,13,-117.5407067650336,35.71730379518506,13.5
M_14,alpha,6,14,-117.54384819502532,35.72325679518506,13.5
M_14,alpha,6,15,-117.56082387813524,35.71886979518506,13.5
M_14,alpha,6,16,-117.55904225910513,35.72414379518505,13.5
M_14,alpha,6,17,-117.55086376743614,35.73117879518505,13.5
M_14,alpha,6,18,-117.56011742336078,35.74025279518504,13.5
M_14,alpha,6,19,-117.56531743485694,35.74041179518504,13.5
M_14,alpha,6,20,-117.57180371115246,35.74423279518505,13.5
M_14,alpha,6,21,-117.55629310019494,35.749611795185054,13.5
M_14,alpha,6,22,-117.55559307046524,35.749200795185054,13.5
M_14,alpha,6,23,-117.55521104869275,35.74889979518505,13.5
M_14,alpha,7,0,-117.60887455312796,35.76968779518503,13.5
M_14,alpha,7,1,-117.60857336726966,35.76712079518505,13.5
M_14,alpha,7,2,-117.60968035517918,35.76695379518505,13.5
M_14,alpha,7,3,-117.60887455312796,35.76968779518503,13.5
M_15,convex,1,0,-117.4397818021026,35.648467795185056,14.5
M_15,convex,1,1,-117.443176440611,35.76813379518506,14.5
M_15,convex,1,2,-117.60237359855806,35.784120795185046,14.5
M_15,convex,1,3,-117.61306575559335,35.772483795185046,14.5
M_15,convex,1,4,-117.675072033842,35.58211079518505,14.5
M_15,convex,1,5,-117.63220786609652,35.565826795185046,14.5
M_15,convex,1,6,-117.61685096674209,35.567230795185054,14.5
M_15,convex,1,7,-117.49491221248572,35.58460079518506,14.5
M_15,convex,1,8,-117.4397818021026,35.648467795185056,14.5
M_15,alpha,1,0,-117.63245227918922,35.57158879518504,14.5
M_15,alpha,1,1,-117.62813959514608,35.57599479518504,14.5
M_15,alpha,1,2,-117.6218816485773,35.576739795185055,14.5
M_15,alpha,1,3,-117.60340796583405,35.58116279518505,14.5
M_15,alpha,1,4,-117.60222716826925,35.57004179518505,14.5
M_15,alpha,1,5,-117.61685096674209,35.567230795185054,14.5
M_15,alpha,1,6,-117.63220786609652,35.565826795185046,14.5
M_15,alpha,1,7,-117.63245227918922,35.57158879518504,14.5
M_15,alpha,2,0,-117.58908659933516,35.603920795185054,14.5
M_15,alpha,2,1,-117.59815995455841,35.59494079518504,14.5
M_15,alpha,2,2,-117.59160835642109,35.586606795185055,14.5
M_15,alpha,2,3,-117.60340796583405,35.58116279518505,14.5
M_15,alpha,2,4,-117.6020577888869,35.592632795185054,14.5
