station_code,station_number,latitude,longitude,elevation_m,matched
N.SMPH,1506,43.040667,142.656167,467.0,True
N.SMTH,2002,39.180833,141.390833,513.0,True
N.SNNH,1557,43.160333,143.893667,73.0,True
N.SNSH,1546,42.985667,143.984167,-74.0,True
N.SOIH,1571,42.562833,141.349667,-159.0,True
N.SRUH,1608,41.597667,140.420667,-147.0,True
N.STSH,1559,43.677167,144.961833,61.0,True
N.SZKH,2024,39.643667,140.9465,60.0,True
N.SZNH,1570,42.349833,142.357167,-107.0,True
N.TAJH,2032,38.590667,141.071,-81.0,True
N.TKIH,1529,42.4865,143.152,259.0,True
N.TMRF,2457,41.101667,141.383167,120.0,True
N.TMYH,2025,39.825,141.382667,571.0,True
N.TOBH,1562,43.408667,141.583667,-121.0,True
N.TOUH,2010,39.334,141.3015,159.0,True
N.TOWH,2030,38.786,141.325333,-66.0,True
N.TREH,1552,43.22,144.4285,-208.0,True
N.TROH,2019,39.7435,141.908667,98.0,True
N.TRSH,1551,43.135833,144.3275,-188.0,True
N.TRWH,1553,43.255667,144.233833,-217.0,True
N.TSRH,2067,40.2755,140.459667,-58.0,True
N.TTKH,2079,40.296167,141.0145,133.0,True
N.TURH,1604,42.6415,140.665,110.0,True
N.TWEH,2073,40.584667,141.154667,-17.0,True
N.TWWH,2081,40.58,140.995,138.0,True
N.TYRH,1523,42.811333,143.520333,-92.0,True
N.TYSF,2450,39.377167,141.593167,346.0,True
N.TZWH,2044,38.749833,140.178,-137.0,True
N.WSMH,1588,43.975333,142.283333,89.0,True
N.YHBH,2013,39.614833,141.092833,71.0,True
N.YJMH,2054,39.222333,140.128333,41.0,True
N.YMDH,2022,39.473333,141.933667,-88.0,True
N.YUBH,1568,42.993,142.0085,-6.0,True
N.YUZH,2064,39.191167,140.471,-107.0,True
NAGAHA,615,,,,False
NAKAMA,554,,,,False
NAKASH,521,43.587833,144.715,220.0,True
NAKATS,626,,,,False
NANGO,653,40.376167,141.511667,270.0,True
NIIJOH,5784,,,,False
NIUKAW,578,,,,False
NOBORI,515,42.471167,141.034667,110.0,True
NOBUKA,702,42.2825,142.748833,115.0,True
NSAKAI,569,,,,False
NUMATA,5862,,,,False
OBARA,581,,,,False
ODAWA2,657,,,,False
OFUNAI,538,39.083,141.6655,180.0,True
OGA3,5836,,,,False
OHASAM,537,39.475833,141.288833,210.0,True
OHATA,528,41.384667,141.044667,80.0,True
OKI2,5794,,,,False
OKURA,543,38.3685,140.6605,390.0,True
OKUSHM,698,42.085167,139.471667,79.0,True
OMATSU,5844,41.524833,140.006833,27.0,True
ONBETS,520,,,,False
ONDO,5860,,,,False
OSHIM3,669,,,,False
OTAMA2,5856,37.559833,140.333667,477.0,True
OURI,544,38.457333,141.345333,40.0,True
RAUSU,524,43.940333,145.118,10.0,True
REBUNT,5845,,,,False
RISHIR,525,,,,False
ROKKAS,5803,41.007333,141.366333,54.0,True
ROKUGO,534,39.399167,140.630333,200.0,True
RYOKAM,561,,,,False
SADO,551,,,,False
SAGAMI,5847,,,,False
SAGARA,567,,,,False
SAIJYO,605,,,,False
SAKAID,609,,,,False
SAKAUR,5848,,,,False
SASAKA,552,,,,False
SETANA,5801,42.4225,139.876667,20.0,True
SHAKOT,510,43.354833,140.472,10.0,True
SHIBET,5843,,,,False
SHIMAM,511,42.6455,140.041333,72.0,True
SHIMOB,568,,,,False
SHIOBA,556,,,,False
SHIPPU,5800,43.275333,141.4175,60.0,True
SHIRAT,542,38.224,140.062167,300.0,True
SHIRIU,678,,,,False
SHIUR2,668,41.060167,140.407667,60.0,True
SHOSAN,503,,,,False
SIKINE,5819,,,,False
SINHDK,5798,42.409833,142.466667,79.0,True
SINONB,5824,,,,False
SIZUKU,5806,39.7415,140.952667,256.0,True
SKAMAE,5832,,,,False
SMATSU,5816,,,,False
SOYAES,502,,,,False
SUZU,574,,,,False
TAKATO,570,,,,False
TAKISA,700,,,,False
TAMANA,619,,,,False
TANABE,5839,,,,False
TANBAR,614,,,,False
TANIAI,5838,,,,False
TANOHA,536,39.9415,141.86,200.0,True
TENKAW,5828,,,,False
TENMAB,530,40.7895,141.064667,130.0,True
THIROO,5797,42.291333,143.298833,54.0,True
TOBISH,549,,,,False
TOKIWA,5810,,,,False
TOKOR2,5865,44.1185,144.0855,74.0,True
TOKYO,60,,,,False
TOSASH,613,,,,False
TOSIMA,5818,,,,False
TOYOHI,662,,,,False
TOYOSA,684,43.3675,145.738833,16.0,True
TSUKUD,5867,,,,False
TSUNO,672,,,,False
TSUSHM,620,,,,False
TT1OBS,5777,,,,False
TT2OBS,5778,,,,False
TT3OBS,5779,,,,False
TT4OBS,5780,,,,False
TT5OBS,5781,,,,False
TTATEY,572,,,,False
TU.AO5,1173,38.252167,140.844333,-415.0,True
TU.DIT,1151,39.064,141.422,400.0,True
TU.EN3,1132,38.397833,141.597667,-265.0,True
TU.FD2,1128,40.011833,141.854833,-245.0,True
TU.FKU,1129,40.634333,139.911667,-320.0,True
TU.HD3,1130,41.366667,141.414667,-235.0,True
TU.HOJ,1103,39.342667,140.170667,140.0,True
TU.HSK,1135,40.414667,141.5795,355.0,True
TU.IW3,1131,39.555167,140.110833,-255.0,True
TU.KG2,1111,39.389167,141.561667,-119.0,True
TU.KN5,1149,38.276333,141.582667,-435.0,True
TU.KRS,1152,39.266167,141.150167,150.0,True
TU.KSN,1147,38.9765,141.53,280.0,True
TU.KTA,1122,37.696667,140.892,160.0,True
TU.KWT,1105,38.755833,140.7565,260.0,True
