interval_label,geometry_type,component_index,ring_type,point_order,x_m,y_m,longitude,latitude
morphology_1h_01,alpha_shape,6,exterior,3,453128.9346612802,3947046.233499864,-117.51787607669701,35.666168795185044
morphology_1h_01,alpha_shape,6,exterior,4,453148.7848745216,3947173.346110901,-117.51766415932738,35.667315795185054
morphology_1h_01,alpha_shape,6,exterior,5,453439.304260597,3947240.919106741,-117.51445820421053,35.667938795185044
morphology_1h_01,alpha_shape,6,exterior,6,453877.1476388273,3946863.9738922,-117.5095989608639,35.66456079518504
morphology_1h_01,alpha_shape,6,exterior,7,453883.7340795701,3946718.6439707777,-117.50951786650415,35.66325079518505
morphology_1h_01,alpha_shape,7,exterior,0,453722.90572962177,3947952.4982387344,-117.51136566745927,35.67436779518505
morphology_1h_01,alpha_shape,7,exterior,1,453920.7162746021,3948036.319274051,-117.509184722592,35.67513279518505
morphology_1h_01,alpha_shape,7,exterior,2,454338.44099937455,3948067.992501796,-117.50457074457357,35.67543779518504
morphology_1h_01,alpha_shape,7,exterior,3,454502.77257939137,3948530.211523178,-117.50278104550252,35.67961279518505
morphology_1h_01,alpha_shape,7,exterior,4,454381.6712208865,3948026.7327984967,-117.50409071790746,35.67506779518505
morphology_1h_01,alpha_shape,7,exterior,5,454401.8192779832,3947930.911607263,-117.50386265571234,35.67420479518504
morphology_1h_01,alpha_shape,7,exterior,6,454157.4973438547,3947528.223196497,-117.506539393268,35.67056279518505
morphology_1h_01,alpha_shape,7,exterior,7,453722.90572962177,3947952.4982387344,-117.51136566745927,35.67436779518505
morphology_1h_01,alpha_shape,8,exterior,0,455949.2514308782,3949439.952624796,-117.48684664163301,35.687880795185066
morphology_1h_01,alpha_shape,8,exterior,1,456036.5782272465,3949386.282007238,-117.48587860701792,35.687400795185056
morphology_1h_01,alpha_shape,8,exterior,2,456374.66128832055,3949243.3130355394,-117.48213451514764,35.68612679518504
morphology_1h_01,alpha_shape,8,exterior,3,456009.243202453,3948922.025381525,-117.48615530510804,35.68321379518505
morphology_1h_01,alpha_shape,8,exterior,4,455754.6357215839,3949259.466004885,-117.48898752365658,35.68624479518503
morphology_1h_01,alpha_shape,8,exterior,5,455425.7298748904,3949462.860242794,-117.49263365483026,35.688063795185045
morphology_1h_01,alpha_shape,8,exterior,6,455603.78139880334,3949879.8889578977,-117.49068892658974,35.691831795185045
morphology_1h_01,alpha_shape,8,exterior,7,455949.2514308782,3949439.952624796,-117.48684664163301,35.687880795185066
morphology_1h_01,alpha_shape,9,exterior,0,454819.870492856,3949197.843049648,-117.4993144805355,35.68564679518506
morphology_1h_01,alpha_shape,9,exterior,1,454200.9014233951,3949404.093275247,-117.50616661257071,35.687477795185046
morphology_1h_01,alpha_shape,9,exterior,2,454531.7178182861,3949726.482695578,-117.50252882330362,35.69039979518505
morphology_1h_01,alpha_shape,9,exterior,3,454819.870492856,3949197.843049648,-117.4993144805355,35.68564679518506
morphology_1h_01,alpha_shape,10,exterior,0,456628.3154577571,3950692.145784159,-117.4794094582103,35.69920079518506
morphology_1h_01,alpha_shape,10,exterior,1,456832.91906279686,3950211.8946166574,-117.47712214645763,35.69487979518505
morphology_1h_01,alpha_shape,10,exterior,2,456401.5600220921,3950554.725542984,-117.48190836809029,35.69795179518504
morphology_1h_01,alpha_shape,10,exterior,3,456628.3154577571,3950692.145784159,-117.4794094582103,35.69920079518506
morphology_1h_01,alpha_shape,11,exterior,0,454775.8964323619,3951140.48954104,-117.49990974390369,35.70315979518505
morphology_1h_01,alpha_shape,11,exterior,1,454422.2149402588,3951383.3351523066,-117.50383300000001,35.705332999999996
morphology_1h_01,alpha_shape,11,exterior,2,454761.5440533572,3951793.6208372377,-117.50010516890279,35.70904779518504
morphology_1h_01,alpha_shape,11,exterior,3,455332.9539605376,3951532.521808116,-117.4937740008517,35.70671979518506
morphology_1h_01,alpha_shape,11,exterior,4,454787.2084839353,3951338.966888531,-117.4997958730938,35.704949795185044
morphology_1h_01,alpha_shape,11,exterior,5,454775.8964323619,3951140.48954104,-117.49990974390369,35.70315979518505
morphology_1h_02,alpha_shape,0,exterior,0,446954.1054595639,3939271.825546054,-117.5855870134955,35.59576179518505
morphology_1h_02,alpha_shape,0,exterior,1,446747.9164690053,3938933.771798405,-117.58784079391133,35.592702795185055
