source_row_index,event_time,latitude,longitude,depth_km,magnitude,t_days,x_km,y_km,along_strike_km,cross_strike_km,in_entire_corridor,north_35p70,south_35p70,on_split_35p70,north_35p72,south_35p72,on_split_35p72,north_35p74,south_35p74,on_split_35p74
1950,2019-07-05T07:14:18.950000Z,35.68912179518505,-117.50765573113128,6.8709453200000015,1.49,0.569790625,3.757398474585069,-4.36763829185587,30.98260455861617,-0.16799255579993497,True,False,True,False,False,True,False,False,True,False
1951,2019-07-05T07:14:40.080000Z,35.57135679518505,-117.63325026255428,5.28140609,0.84,0.5700351851851851,-7.622124344224465,-17.43145234041996,33.07553205582465,-17.36614453706513,False,False,False,False,False,False,False,False,False,False
1952,2019-07-05T07:15:04.770000Z,35.74041179518505,-117.56531743485692,5.252373410000001,0.84,0.5703209490740742,-1.4609853008311149,1.3225038011527903,23.262220551420725,-0.23811421861947446,True,True,False,False,True,False,False,True,False,False
1953,2019-07-05T07:15:24.020000Z,35.73086979518505,-117.54331174510487,5.62979825,1.36,0.57054375,0.5296740649328547,0.263675253380388,25.381139045260486,0.5326172654561695,True,True,False,False,True,False,False,False,True,False
1954,2019-07-05T07:15:50.970000Z,35.70164979518505,-117.48560263493091,5.9564159000000005,1.83,0.5708556712962963,5.752661449478628,-2.976546149720866,31.284052276291852,2.2455817563767124,True,True,False,False,False,True,False,False,True,False
1955,2019-07-05T07:16:17.860000Z,35.67675579518505,-117.52288183956674,3.65557601,1.02,0.5711668981481481,2.3795558033605153,-5.740160719355917,31.080518838767457,-2.110331618471612,True,False,True,False,False,True,False,False,True,False
1956,2019-07-05T07:17:13.560000Z,35.60737979518505,-117.59167484777252,4.39590935,0.84,0.571811574074074,-3.851619670344267,-13.43707808027271,32.63040914354141,-11.891329762222076,False,False,False,False,False,False,False,False,False,False
1957,2019-07-05T07:17:24.520000Z,35.68427179518505,-117.48080838139084,2.92975901,0.53,0.5719384259259259,6.1878938056336805,-4.904401142648203,33.00789931367318,1.2789362839770582,True,False,True,False,False,True,False,False,True,False
1958,2019-07-05T07:17:37.110000Z,35.68127279518505,-117.54443116517054,3.64831784,0.72,0.5720841435185186,0.4286666888499508,-5.23929399276786,29.40283846021302,-3.224882811702453,True,False,True,False,False,True,False,False,True,False
1959,2019-07-05T07:17:39.940000Z,35.68771379518505,-117.61568862958976,2.42894528,0.86,0.5721168981481481,-6.0214382230751715,-4.522614483780955,24.554030537792915,-7.53841322482328,False,False,False,False,False,False,False,False,False,False
1960,2019-07-05T07:17:55.060000Z,35.72872079518505,-117.52505758980728,4.686236150000001,1.44,0.5722918981481481,2.1811685705825887,0.025487275358691993,26.663274282157666,1.6004640940659371,True,True,False,False,True,False,False,False,True,False
1961,2019-07-05T07:18:23.930000Z,35.643723795185046,-117.55823846069102,8.91774926,1.57,0.5726260416666666,-0.8216249945264086,-9.405431434114183,31.662059264839538,-6.941850908101784,False,False,False,False,False,False,False,False,False,False
1962,2019-07-05T07:18:50.950000Z,35.62013179518505,-117.567001764032,3.96041915,1.2,0.5729387731481482,-1.6157707136320902,-12.022906788967608,33.07570035033017,-9.283530548413799,False,False,False,False,False,False,False,False,False,False
1963,2019-07-05T07:19:01.480000Z,35.67166579518505,-117.51983747274576,6.326582570000001,1.16,0.5730606481481482,2.6553316241821157,-6.304833267890628,31.68467239652118,-2.2832647531567627,True,False,True,False,False,True,False,False,True,False
1964,2019-07-05T07:19:40.860000Z,35.70591479518505,-117.50145594274574,9.20807606,2.12,0.5735164351851851,4.317674374942314,-2.504142800630401,29.972751154719475,1.4953536598079373,True,True,False,False,False,True,False,False,True,False
1965,2019-07-05T07:20:09.450000Z,35.67213779518505,-117.51316450675748,6.6604583900000005,0.95,0.5738473379629631,3.2594557800661206,-6.252262447597448,32.04987053109326,-1.7991573173804367,True,False,True,False,False,True,False,False,True,False
1966,2019-07-05T07:20:41.010000Z,35.61812579518505,-117.5987806198582,7.83628193,1.24,0.5742126157407408,-4.49486155244543,-12.244487724668222,31.31374740713191,-11.571277036807963,False,False,False,False,False,False,False,False,False,False
1967,2019-07-05T07:20:54.790000Z,35.68787279518505,-117.49420364105607,2.41442894,0.93,0.5743721064814815,4.975108476197965,-4.5056204571842455,31.89999916024267,0.6445613629546026,True,False,True,False,False,True,False,False,True,False
1968,2019-07-05T07:21:09.460000Z,35.56528179518505,-117.60579982703013,7.930638140000001,1.0,0.5745418981481482,-5.134153180605685,-18.107261819668487,35.24261453087014,-15.969551357362656,False,False,False,False,False,False,False,False,False,False
1969,2019-07-05T07:21:25.060000Z,35.79542079518505,-117.61528041757472,5.063660990000001,0.72,0.5747224537037037,-5.976433577716055,7.42790547573163,15.70364031777805,0.4920005673967591,True,True,False,False,True,False,False,True,False,False
1970,2019-07-05T07:21:29.730000Z,35.69506679518505,-117.48142715994798,7.901605460000002,0.79,0.5747765046296297,6.1310545405755335,-3.706699651980897,32.07984451767499,2.0381686979477838,True,False,True,False,False,True,False,False,True,False
1971,2019-07-05T07:21:52.410000Z,35.73642779518505,-117.5270521468304,2.79185378,0.73,0.5750390046296296,2.000525321853834,0.8805676340114457,25.906977054764916,2.0384240316207727,True,True,False,False,True,False,False,False,True,False
1972,2019-07-05T07:21:59.420000Z,35.62900179518505,-117.5874364017014,9.11371985,0.76,0.5751201388888889,-3.4666462142572234,-11.038233253872223,31.10542656023731,-10.000010332919047,False,False,False,False,False,False,False,False,False,False
1973,2019-07-05T07:22:17.360000Z,35.79796779518505,-117.56807260224272,2.58136685,0.59,0.5753277777777778,-1.7089815904310175,7.708658601615336,18.350676442898294,3.851043367627935,True,True,False,False,True,False,False,True,False,False
1974,2019-07-05T07:22:22.120000Z,35.65503579518505,-117.51129127491406,2.73378842,1.0,0.5753828703703704,3.429781314621953,-8.149712967580548,33.573855205188664,-2.942310840153385,True,False,True,False,False,True,False,False,True,False
1975,2019-07-05T07:22:40.400000Z,35.64400879518505,-117.53762548119936,7.117723100000001,0.95,0.5755944444444444,1.0452377525948193,-9.37378652372686,32.887798701683266,-5.53339758977403,False,False,False,False,False,False,False,False,False,False
1976,2019-07-05T07:23:27.690000Z,35.66661979518505,-117.53870110918668,6.464487800000001,0.65,0.5761417824074074,0.9475538699602053,-6.865047664876617,30.958171703466988,-3.9272056801360105,True,False,True,False,False,True,False,False,True,False
1977,2019-07-05T07:23:38.270000Z,35.70531679518505,-117.4910068995828,3.4087982300000004,0.56,0.5762642361111111,5.263323292339238,-2.5699829561884178,30.654480525842345,2.1540128020099547,True,True,False,False,False,True,False,False,True,False
1978,2019-07-05T07:24:02.500000Z,35.74759779518505,-117.53388895451792,5.390278640000001,0.95,0.576544675925926,1.3818558496485525,2.119808471963228,24.5720922571954,2.4079539323108157,True,True,False,False,True,False,False,True,False,False
1979,2019-07-05T07:24:27.460000Z,35.63278579518505,-117.54869167382031,5.680605440000001,1.65,0.5768335648148148,0.04300969468003993,-10.619065644000607,33.1425090074606,-7.111467242099996,False,False,False,False,False,False,False,False,False,False
1980,2019-07-05T07:25:01.370000Z,35.68097179518505,-117.49512314347098,5.6443145900000005,0.7,0.5772260416666667,4.892298730763694,-5.271354401942142,32.413606762049994,0.07061610471205305,True,False,True,False,False,True,False,False,True,False
1981,2019-07-05T07:25:21.030000Z,35.664214795185046,-117.5063599359408,2.94427535,0.64,0.577453587962963,3.875893604605383,-7.131094645312472,33.115440054370325,-1.9291696795865614,True,False,True,False,False,True,False,False,True,False
1982,2019-07-05T07:25:35.340000Z,35.69018779518505,-117.47498980801328,2.22571652,0.66,0.577619212962963,6.714105021770117,-4.247619566604922,32.871967386298344,2.109467917172233,True,False,True,False,False,True,False,False,True,False
1983,2019-07-05T07:25:45.940000Z,35.66727879518505,-117.4740121566618,8.08305971,0.71,0.5777418981481481,6.804542495873851,-6.789375554576892,34.82128051556093,0.47579697013359307,True,False,True,False,False,True,False,False,True,False
1984,2019-07-05T07:26:25.440000Z,35.64304779518505,-117.5583604120478,9.10646168,0.91,0.5781990740740741,-0.8326768449614644,-9.480434231592916,31.71039870801356,-7.000253487336785,False,False,False,False,False,False,False,False,False,False
1985,2019-07-05T07:26:38.310000Z,35.72203979518505,-117.5249681071098,5.375762300000001,1.17,0.5783480324074074,2.18944701090423,-0.7157938505241738,27.219664635968524,1.1105702133626232,True,True,False,False,True,False,False,False,True,False
1986,2019-07-05T07:27:02.680000Z,35.70017679518505,-117.4741525286362,2.50878515,0.97,0.5786300925925926,6.7890444934791185,-3.1392489661844194,32.098477764300284,2.9068480755395143,True,True,False,False,False,True,False,False,True,False
1987,2019-07-05T07:27:36.830000Z,35.74920079518505,-117.55559307046524,6.638683880000001,4.1,0.5790253472222222,-0.5812724300399525,2.297579726225218,23.126316020842413,1.0681008300075736,True,True,False,False,True,False,False,True,False,False
1988,2019-07-05T07:28:41.430000Z,35.74889979518505,-117.55521104869275,6.2612590400000006,2.18,0.5797730324074074,-0.5467212649439674,2.264180268966727,23.17425608847294,1.071425987181591,True,True,False,False,True,False,False,True,False,False
1989,2019-07-05T07:28:59.930000Z,35.67171079518505,-117.52521647598834,7.930638140000001,2.17,0.5799871527777778,2.1683371975035723,-6.299972545966247,31.355176627581894,-2.6419006917974666,True,False,True,False,False,True,False,False,True,False
