event_id,time,mag,moment_proxy,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,along_axis_30km,off_axis_30km,m2_related_flag,phase_primary
142,2025-06-06 03:43:59.180000+00:00,0.2,2511886431.509582,False,False,False,False,False,False,baseline_to_M1_minus14d
143,2025-06-06 04:36:22.220000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
144,2025-06-06 04:43:21.240000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
145,2025-06-06 05:25:24.150000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
146,2025-06-06 06:43:02.690000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
147,2025-06-06 06:46:51.940000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
148,2025-06-06 07:20:15.530000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
149,2025-06-06 09:49:32.950000+00:00,0.6,10000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
150,2025-06-06 09:54:48.120000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
151,2025-06-06 11:19:40.350000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
152,2025-06-06 11:48:32.320000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
153,2025-06-06 16:43:17.940000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
154,2025-06-06 16:47:21.050000+00:00,0.5,7079457843.841373,False,False,False,False,False,False,baseline_to_M1_minus14d
155,2025-06-06 17:15:15.440000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
156,2025-06-06 17:18:14.560000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
157,2025-06-06 17:53:00.040000+00:00,0.2,2511886431.509582,False,False,False,False,False,False,baseline_to_M1_minus14d
158,2025-06-06 18:36:54.200000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
159,2025-06-06 19:16:26.320000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
160,2025-06-06 21:26:28.560000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
161,2025-06-06 23:37:00.760000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
162,2025-06-07 00:38:08.910000+00:00,1.2,79432823472.42789,True,False,True,False,True,False,baseline_to_M1_minus14d
163,2025-06-07 03:48:50.150000+00:00,0.5,7079457843.841373,False,False,False,False,False,False,baseline_to_M1_minus14d
164,2025-06-07 04:14:48.240000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
165,2025-06-07 08:48:59.220000+00:00,0.2,2511886431.509582,False,False,False,False,False,False,baseline_to_M1_minus14d
166,2025-06-07 09:07:05.720000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
167,2025-06-07 11:02:11.250000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
168,2025-06-07 12:02:41.630000+00:00,0.5,7079457843.841373,False,False,False,False,False,False,baseline_to_M1_minus14d
169,2025-06-07 13:45:57.730000+00:00,1.9,891250938133.744,False,False,False,False,False,False,baseline_to_M1_minus14d
170,2025-06-07 13:52:09+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
171,2025-06-07 16:18:48.560000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
172,2025-06-07 17:33:52.600000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
173,2025-06-07 18:03:03.880000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
174,2025-06-07 18:06:15.020000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
175,2025-06-07 18:10:01.800000+00:00,1.2,79432823472.42789,True,True,True,False,True,False,baseline_to_M1_minus14d
176,2025-06-07 18:22:05.560000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
177,2025-06-07 18:31:09.420000+00:00,2.0,1258925411794.1663,True,False,True,False,True,False,baseline_to_M1_minus14d
178,2025-06-07 19:22:34.860000+00:00,0.5,7079457843.841373,False,False,False,False,False,False,baseline_to_M1_minus14d
179,2025-06-07 20:58:02.200000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
180,2025-06-07 21:17:19.220000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
181,2025-06-07 21:51:36.860000+00:00,0.6,10000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
182,2025-06-07 22:10:13.520000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
183,2025-06-07 22:23:01.480000+00:00,0.9,28183829312.644493,True,True,False,False,True,False,baseline_to_M1_minus14d
184,2025-06-07 23:08:24.840000+00:00,2.3,3548133892335.746,False,False,False,False,False,False,baseline_to_M1_minus14d
185,2025-06-07 23:16:38.520000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
186,2025-06-08 00:50:21.710000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
187,2025-06-08 01:18:06.510000+00:00,2.6,10000000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
188,2025-06-08 01:27:08.710000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
189,2025-06-08 02:36:32.360000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
190,2025-06-08 05:38:32.010000+00:00,1.5,223872113856.83377,False,False,False,False,False,False,baseline_to_M1_minus14d
191,2025-06-08 06:27:09+00:00,0.6,10000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
