event_time,latitude,longitude,depth_km,magnitude
2019-07-24 15:32:48.300000+00:00,35.92216579518505,-117.70052763534616,5.869317860000001,0.69
2019-07-24 15:33:21.150000+00:00,35.89327979518505,-117.67782852947835,4.163647910000001,0.71
2019-07-24 15:33:51.960000+00:00,35.62210079518505,-117.42704390556041,4.19993876,0.24
2019-07-24 15:34:17.970000+00:00,35.73231779518505,-117.60193784975394,1.03537664,0.3
2019-07-24 15:34:30.590000+00:00,35.592787795185046,-117.43040280001242,4.497523730000001,0.0
2019-07-24 15:34:44.340000+00:00,35.62858679518505,-117.44022037186058,3.88057928,-0.2
2019-07-24 15:35:15.710000+00:00,35.60956479518505,-117.47325900472866,4.3305858200000005,0.6
2019-07-24 15:35:43.960000+00:00,36.00947479518505,-117.84283601870071,4.468491050000001,1.12
2019-07-24 15:35:45.140000+00:00,35.70386779518505,-117.53043579500097,8.7145205,0.81
2019-07-24 15:36:05.770000+00:00,35.680202795185046,-117.429359088034,6.130611980000001,0.55
2019-07-24 15:36:30.290000+00:00,35.68593179518505,-117.52618650108639,6.696749240000001,0.51
2019-07-24 15:36:49.340000+00:00,35.56476479518505,-117.4007787899718,4.461232880000001,0.39
2019-07-24 15:37:13.600000+00:00,35.65531679518505,-117.44607329514585,5.150759030000001,0.9
2019-07-24 15:37:48.800000+00:00,35.62962079518505,-117.43968344621209,3.87332111,0.16
2019-07-24 15:38:16.980000+00:00,35.70829479518505,-117.51013111454395,6.631425710000001,0.75
2019-07-24 15:38:35.850000+00:00,35.61698579518505,-117.4388845379313,6.92175251,0.34
2019-07-24 15:39:17.280000+00:00,35.78716479518505,-117.60673581914024,4.722527,0.35
2019-07-24 15:39:36.670000+00:00,35.53943879518505,-117.38928597577292,7.422566240000001,0.35
2019-07-24 15:39:44.330000+00:00,35.82265479518505,-117.6540603933561,4.58462177,0.75
2019-07-24 15:40:16.170000+00:00,35.63271679518505,-117.45674866885787,3.11847143,0.52
2019-07-24 15:40:27.060000+00:00,35.62393179518505,-117.44075703718198,4.19993876,1.54
2019-07-24 15:40:41.340000+00:00,36.07692279518505,-117.82222696885167,2.2547492,1.59
2019-07-24 15:41:19.210000+00:00,35.88462579518505,-117.62904089916279,2.8862099900000002,0.62
2019-07-24 15:41:31.360000+00:00,35.59185979518505,-117.42957273340409,4.3305858200000005,0.2
2019-07-24 15:41:47.890000+00:00,35.62937679518505,-117.4344014286665,5.33221328,0.17
2019-07-24 15:42:01.810000+00:00,35.94455379518505,-117.7094322695596,4.555589090000001,0.93
