cell_id,ix,iy,x_left_km,x_right_km,y_bottom_km,y_top_km,x_center_km,y_center_km
279,36,3,446.0,446.5,3924.5,3925.0,446.25,3924.75
280,37,3,446.5,447.0,3924.5,3925.0,446.75,3924.75
281,38,3,447.0,447.5,3924.5,3925.0,447.25,3924.75
282,39,3,447.5,448.0,3924.5,3925.0,447.75,3924.75
283,40,3,448.0,448.5,3924.5,3925.0,448.25,3924.75
284,41,3,448.5,449.0,3924.5,3925.0,448.75,3924.75
285,42,3,449.0,449.5,3924.5,3925.0,449.25,3924.75
286,43,3,449.5,450.0,3924.5,3925.0,449.75,3924.75
287,44,3,450.0,450.5,3924.5,3925.0,450.25,3924.75
288,45,3,450.5,451.0,3924.5,3925.0,450.75,3924.75
289,46,3,451.0,451.5,3924.5,3925.0,451.25,3924.75
290,47,3,451.5,452.0,3924.5,3925.0,451.75,3924.75
291,48,3,452.0,452.5,3924.5,3925.0,452.25,3924.75
292,49,3,452.5,453.0,3924.5,3925.0,452.75,3924.75
293,50,3,453.0,453.5,3924.5,3925.0,453.25,3924.75
294,51,3,453.5,454.0,3924.5,3925.0,453.75,3924.75
295,52,3,454.0,454.5,3924.5,3925.0,454.25,3924.75
296,53,3,454.5,455.0,3924.5,3925.0,454.75,3924.75
297,54,3,455.0,455.5,3924.5,3925.0,455.25,3924.75
298,55,3,455.5,456.0,3924.5,3925.0,455.75,3924.75
299,56,3,456.0,456.5,3924.5,3925.0,456.25,3924.75
300,57,3,456.5,457.0,3924.5,3925.0,456.75,3924.75
301,58,3,457.0,457.5,3924.5,3925.0,457.25,3924.75
302,59,3,457.5,458.0,3924.5,3925.0,457.75,3924.75
303,60,3,458.0,458.5,3924.5,3925.0,458.25,3924.75
304,61,3,458.5,459.0,3924.5,3925.0,458.75,3924.75
305,62,3,459.0,459.5,3924.5,3925.0,459.25,3924.75
306,63,3,459.5,460.0,3924.5,3925.0,459.75,3924.75
307,64,3,460.0,460.5,3924.5,3925.0,460.25,3924.75
308,65,3,460.5,461.0,3924.5,3925.0,460.75,3924.75
309,66,3,461.0,461.5,3924.5,3925.0,461.25,3924.75
310,67,3,461.5,462.0,3924.5,3925.0,461.75,3924.75
311,68,3,462.0,462.5,3924.5,3925.0,462.25,3924.75
312,69,3,462.5,463.0,3924.5,3925.0,462.75,3924.75
313,70,3,463.0,463.5,3924.5,3925.0,463.25,3924.75
314,71,3,463.5,464.0,3924.5,3925.0,463.75,3924.75
315,72,3,464.0,464.5,3924.5,3925.0,464.25,3924.75
316,73,3,464.5,465.0,3924.5,3925.0,464.75,3924.75
317,74,3,465.0,465.5,3924.5,3925.0,465.25,3924.75
318,75,3,465.5,466.0,3924.5,3925.0,465.75,3924.75
319,76,3,466.0,466.5,3924.5,3925.0,466.25,3924.75
320,77,3,466.5,467.0,3924.5,3925.0,466.75,3924.75
321,78,3,467.0,467.5,3924.5,3925.0,467.25,3924.75
322,79,3,467.5,468.0,3924.5,3925.0,467.75,3924.75
323,80,3,468.0,468.5,3924.5,3925.0,468.25,3924.75
324,0,4,428.0,428.5,3925.0,3925.5,428.25,3925.25
325,1,4,428.5,429.0,3925.0,3925.5,428.75,3925.25
326,2,4,429.0,429.5,3925.0,3925.5,429.25,3925.25
327,3,4,429.5,430.0,3925.0,3925.5,429.75,3925.25
328,4,4,430.0,430.5,3925.0,3925.5,430.25,3925.25
329,5,4,430.5,431.0,3925.0,3925.5,430.75,3925.25
330,6,4,431.0,431.5,3925.0,3925.5,431.25,3925.25
331,7,4,431.5,432.0,3925.0,3925.5,431.75,3925.25
332,8,4,432.0,432.5,3925.0,3925.5,432.25,3925.25
333,9,4,432.5,433.0,3925.0,3925.5,432.75,3925.25
334,10,4,433.0,433.5,3925.0,3925.5,433.25,3925.25
335,11,4,433.5,434.0,3925.0,3925.5,433.75,3925.25
336,12,4,434.0,434.5,3925.0,3925.5,434.25,3925.25
337,13,4,434.5,435.0,3925.0,3925.5,434.75,3925.25
338,14,4,435.0,435.5,3925.0,3925.5,435.25,3925.25
339,15,4,435.5,436.0,3925.0,3925.5,435.75,3925.25
340,16,4,436.0,436.5,3925.0,3925.5,436.25,3925.25
341,17,4,436.5,437.0,3925.0,3925.5,436.75,3925.25
342,18,4,437.0,437.5,3925.0,3925.5,437.25,3925.25
343,19,4,437.5,438.0,3925.0,3925.5,437.75,3925.25
344,20,4,438.0,438.5,3925.0,3925.5,438.25,3925.25
345,21,4,438.5,439.0,3925.0,3925.5,438.75,3925.25
346,22,4,439.0,439.5,3925.0,3925.5,439.25,3925.25
347,23,4,439.5,440.0,3925.0,3925.5,439.75,3925.25
348,24,4,440.0,440.5,3925.0,3925.5,440.25,3925.25
349,25,4,440.5,441.0,3925.0,3925.5,440.75,3925.25
350,26,4,441.0,441.5,3925.0,3925.5,441.25,3925.25
351,27,4,441.5,442.0,3925.0,3925.5,441.75,3925.25
352,28,4,442.0,442.5,3925.0,3925.5,442.25,3925.25
353,29,4,442.5,443.0,3925.0,3925.5,442.75,3925.25
354,30,4,443.0,443.5,3925.0,3925.5,443.25,3925.25
355,31,4,443.5,444.0,3925.0,3925.5,443.75,3925.25
356,32,4,444.0,444.5,3925.0,3925.5,444.25,3925.25
357,33,4,444.5,445.0,3925.0,3925.5,444.75,3925.25
358,34,4,445.0,445.5,3925.0,3925.5,445.25,3925.25
359,35,4,445.5,446.0,3925.0,3925.5,445.75,3925.25
360,36,4,446.0,446.5,3925.0,3925.5,446.25,3925.25
361,37,4,446.5,447.0,3925.0,3925.5,446.75,3925.25
362,38,4,447.0,447.5,3925.0,3925.5,447.25,3925.25
363,39,4,447.5,448.0,3925.0,3925.5,447.75,3925.25
364,40,4,448.0,448.5,3925.0,3925.5,448.25,3925.25
365,41,4,448.5,449.0,3925.0,3925.5,448.75,3925.25
366,42,4,449.0,449.5,3925.0,3925.5,449.25,3925.25
367,43,4,449.5,450.0,3925.0,3925.5,449.75,3925.25
368,44,4,450.0,450.5,3925.0,3925.5,450.25,3925.25
369,45,4,450.5,451.0,3925.0,3925.5,450.75,3925.25
370,46,4,451.0,451.5,3925.0,3925.5,451.25,3925.25
371,47,4,451.5,452.0,3925.0,3925.5,451.75,3925.25
372,48,4,452.0,452.5,3925.0,3925.5,452.25,3925.25
373,49,4,452.5,453.0,3925.0,3925.5,452.75,3925.25
374,50,4,453.0,453.5,3925.0,3925.5,453.25,3925.25
375,51,4,453.5,454.0,3925.0,3925.5,453.75,3925.25
376,52,4,454.0,454.5,3925.0,3925.5,454.25,3925.25
377,53,4,454.5,455.0,3925.0,3925.5,454.75,3925.25
378,54,4,455.0,455.5,3925.0,3925.5,455.25,3925.25
379,55,4,455.5,456.0,3925.0,3925.5,455.75,3925.25
380,56,4,456.0,456.5,3925.0,3925.5,456.25,3925.25
381,57,4,456.5,457.0,3925.0,3925.5,456.75,3925.25
382,58,4,457.0,457.5,3925.0,3925.5,457.25,3925.25
383,59,4,457.5,458.0,3925.0,3925.5,457.75,3925.25
384,60,4,458.0,458.5,3925.0,3925.5,458.25,3925.25
385,61,4,458.5,459.0,3925.0,3925.5,458.75,3925.25
386,62,4,459.0,459.5,3925.0,3925.5,459.25,3925.25
387,63,4,459.5,460.0,3925.0,3925.5,459.75,3925.25
388,64,4,460.0,460.5,3925.0,3925.5,460.25,3925.25
389,65,4,460.5,461.0,3925.0,3925.5,460.75,3925.25
390,66,4,461.0,461.5,3925.0,3925.5,461.25,3925.25
391,67,4,461.5,462.0,3925.0,3925.5,461.75,3925.25
392,68,4,462.0,462.5,3925.0,3925.5,462.25,3925.25
393,69,4,462.5,463.0,3925.0,3925.5,462.75,3925.25
