cell_id,total_events,first_event_bin_index,first_event_count,onset_bin_index,onset_count,future_active_bins,window_cumulative_count,quality_flag,first_event_time_hr_from_64,onset_time_hr_from_64,onset_time_min_from_64
5404,0,,0,,,,,inactive,,,
5405,0,,0,,,,,inactive,,,
5406,0,,0,,,,,inactive,,,
5407,0,,0,,,,,inactive,,,
5408,0,,0,,,,,inactive,,,
5409,0,,0,,,,,inactive,,,
5410,0,,0,,,,,inactive,,,
5411,1,25.0,1,,,,,insufficient_data,12.5,,
5412,0,,0,,,,,inactive,,,
5413,0,,0,,,,,inactive,,,
5414,0,,0,,,,,inactive,,,
5415,0,,0,,,,,inactive,,,
5416,0,,0,,,,,inactive,,,
5417,0,,0,,,,,inactive,,,
5418,0,,0,,,,,inactive,,,
5419,0,,0,,,,,inactive,,,
5420,0,,0,,,,,inactive,,,
5421,0,,0,,,,,inactive,,,
5422,0,,0,,,,,inactive,,,
5423,0,,0,,,,,inactive,,,
5424,0,,0,,,,,inactive,,,
5425,0,,0,,,,,inactive,,,
5426,0,,0,,,,,inactive,,,
5427,0,,0,,,,,inactive,,,
5428,0,,0,,,,,inactive,,,
5429,0,,0,,,,,inactive,,,
5430,0,,0,,,,,inactive,,,
5431,0,,0,,,,,inactive,,,
5432,0,,0,,,,,inactive,,,
5433,0,,0,,,,,inactive,,,
5434,0,,0,,,,,inactive,,,
5435,0,,0,,,,,inactive,,,
5436,1,49.0,1,,,,,insufficient_data,24.5,,
5437,0,,0,,,,,inactive,,,
5438,0,,0,,,,,inactive,,,
5439,0,,0,,,,,inactive,,,
5440,0,,0,,,,,inactive,,,
5441,0,,0,,,,,inactive,,,
5442,1,46.0,1,,,,,insufficient_data,23.0,,
5443,0,,0,,,,,inactive,,,
5444,0,,0,,,,,inactive,,,
5445,0,,0,,,,,inactive,,,
5446,0,,0,,,,,inactive,,,
5447,0,,0,,,,,inactive,,,
5448,0,,0,,,,,inactive,,,
5449,0,,0,,,,,inactive,,,
5450,0,,0,,,,,inactive,,,
5451,0,,0,,,,,inactive,,,
5452,0,,0,,,,,inactive,,,
5453,0,,0,,,,,inactive,,,
5454,1,41.0,1,,,,,insufficient_data,20.5,,
5455,0,,0,,,,,inactive,,,
5456,0,,0,,,,,inactive,,,
5457,0,,0,,,,,inactive,,,
5458,1,23.0,1,,,,,insufficient_data,11.5,,
5459,0,,0,,,,,inactive,,,
5460,0,,0,,,,,inactive,,,
5461,0,,0,,,,,inactive,,,
5462,0,,0,,,,,inactive,,,
5463,0,,0,,,,,inactive,,,
5464,2,64.0,1,,,,,insufficient_data,32.0,,
5465,2,0.0,1,,,,,insufficient_data,0.0,,
5466,14,35.0,3,35.0,3.0,4.0,9.0,robust,17.5,17.5,1050.0
5467,16,31.0,1,35.0,2.0,4.0,6.0,robust,15.5,17.5,1050.0
5468,16,35.0,3,35.0,3.0,3.0,7.0,robust,17.5,17.5,1050.0
5469,7,35.0,1,35.0,1.0,3.0,4.0,robust,17.5,17.5,1050.0
5470,7,11.0,1,,,,,ambiguous,5.5,,
5471,4,52.0,1,,,,,ambiguous,26.0,,
5472,2,36.0,1,,,,,insufficient_data,18.0,,
5473,0,,0,,,,,inactive,,,
5474,0,,0,,,,,inactive,,,
5475,0,,0,,,,,inactive,,,
5476,0,,0,,,,,inactive,,,
5477,0,,0,,,,,inactive,,,
5478,0,,0,,,,,inactive,,,
5479,0,,0,,,,,inactive,,,
5480,0,,0,,,,,inactive,,,
5481,0,,0,,,,,inactive,,,
5482,0,,0,,,,,inactive,,,
5483,0,,0,,,,,inactive,,,
5484,0,,0,,,,,inactive,,,
5485,0,,0,,,,,inactive,,,
5486,0,,0,,,,,inactive,,,
5487,0,,0,,,,,inactive,,,
5488,0,,0,,,,,inactive,,,
5489,0,,0,,,,,inactive,,,
5490,0,,0,,,,,inactive,,,
5491,0,,0,,,,,inactive,,,
5492,0,,0,,,,,inactive,,,
5493,0,,0,,,,,inactive,,,
5494,0,,0,,,,,inactive,,,
5495,0,,0,,,,,inactive,,,
5496,0,,0,,,,,inactive,,,
5497,0,,0,,,,,inactive,,,
5498,0,,0,,,,,inactive,,,
5499,0,,0,,,,,inactive,,,
5500,0,,0,,,,,inactive,,,
5501,0,,0,,,,,inactive,,,
5502,0,,0,,,,,inactive,,,
5503,0,,0,,,,,inactive,,,
5504,0,,0,,,,,inactive,,,
5505,0,,0,,,,,inactive,,,
5506,0,,0,,,,,inactive,,,
5507,0,,0,,,,,inactive,,,
5508,0,,0,,,,,inactive,,,
5509,0,,0,,,,,inactive,,,
5510,0,,0,,,,,inactive,,,
5511,0,,0,,,,,inactive,,,
5512,0,,0,,,,,inactive,,,
5513,0,,0,,,,,inactive,,,
5514,0,,0,,,,,inactive,,,
5515,0,,0,,,,,inactive,,,
5516,0,,0,,,,,inactive,,,
5517,0,,0,,,,,inactive,,,
5518,0,,0,,,,,inactive,,,
5519,0,,0,,,,,inactive,,,
5520,0,,0,,,,,inactive,,,
5521,0,,0,,,,,inactive,,,
5522,0,,0,,,,,inactive,,,
5523,0,,0,,,,,inactive,,,
5524,0,,0,,,,,inactive,,,
5525,0,,0,,,,,inactive,,,
5526,0,,0,,,,,inactive,,,
5527,0,,0,,,,,inactive,,,
5528,0,,0,,,,,inactive,,,
5529,0,,0,,,,,inactive,,,
5530,0,,0,,,,,inactive,,,
5531,0,,0,,,,,inactive,,,
5532,0,,0,,,,,inactive,,,
5533,0,,0,,,,,inactive,,,
5534,0,,0,,,,,inactive,,,
5535,0,,0,,,,,inactive,,,
5536,0,,0,,,,,inactive,,,
5537,0,,0,,,,,inactive,,,
5538,0,,0,,,,,inactive,,,
5539,1,59.0,1,,,,,insufficient_data,29.5,,
5540,0,,0,,,,,inactive,,,
5541,0,,0,,,,,inactive,,,
