reference_id,source_file,raw_time,origin_time,latitude,longitude,depth_km,magnitude,event_id,has_origin_time,has_location,has_depth,has_magnitude,flag_time_parse_failed,flag_missing_location,flag_missing_depth,flag_missing_magnitude,flag_lat_out_of_bounds,flag_lon_out_of_bounds,flag_depth_out_of_bounds,flag_mag_out_of_bounds,flag_any_quality_issue,quality_status,duplicate_signature,flag_exact_duplicate_signature
M3,Snet_catalog_relocate.csv,2026-04-23T01:20:19.880000Z,2026-04-23 01:20:19.880000+00:00,39.627511,143.46097,12.08,2.8,CAT_023427,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776907220000000000|39.6275|143.461|12.08|2.8,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:22:51.370000Z,2026-04-23 01:22:51.370000+00:00,39.74211,143.380062,13.55,1.5,CAT_023428,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776907371000000000|39.7421|143.3801|13.55|1.5,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:26:29.550000Z,2026-04-23 01:26:29.550000+00:00,39.604049,143.236133,9.96,1.2,CAT_023430,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776907590000000000|39.604|143.2361|9.96|1.2,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:28:49.440000Z,2026-04-23 01:28:49.440000+00:00,39.849137,143.295003,11.93,0.9,CAT_023432,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776907729000000000|39.8491|143.295|11.93|0.9,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:30:22.210000Z,2026-04-23 01:30:22.210000+00:00,39.622058,143.245459,13.37,1.4,CAT_023433,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776907822000000000|39.6221|143.2455|13.37|1.4,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:32:45.250000Z,2026-04-23 01:32:45.250000+00:00,39.713753,143.42264,9.31,1.5,CAT_023434,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776907965000000000|39.7138|143.4226|9.31|1.5,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:38:18.090000Z,2026-04-23 01:38:18.090000+00:00,39.821883,143.278044,5.4,1.6,CAT_023436,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776908298000000000|39.8219|143.278|5.4|1.6,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:42:23.960000Z,2026-04-23 01:42:23.960000+00:00,40.089388,143.235596,5.56,1.4,CAT_023437,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776908544000000000|40.0894|143.2356|5.56|1.4,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:44:43.640000Z,2026-04-23 01:44:43.640000+00:00,39.957808,143.024837,18.97,1.9,CAT_023438,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776908684000000000|39.9578|143.0248|18.97|1.9,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:45:47.980000Z,2026-04-23 01:45:47.980000+00:00,39.508573,143.100114,18.77,1.6,CAT_023439,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776908748000000000|39.5086|143.1001|18.77|1.6,False
M3,Snet_catalog_relocate.csv,2026-04-23T01:57:31.280000Z,2026-04-23 01:57:31.280000+00:00,39.615088,143.234668,11.3,1.5,CAT_023442,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776909451000000000|39.6151|143.2347|11.3|1.5,False
M3,Snet_catalog_relocate.csv,2026-04-23T02:01:38.440000Z,2026-04-23 02:01:38.440000+00:00,40.092708,143.233724,4.06,1.4,CAT_023443,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776909698000000000|40.0927|143.2337|4.06|1.4,False
M3,Snet_catalog_relocate.csv,2026-04-23T02:06:27.380000Z,2026-04-23 02:06:27.380000+00:00,39.726074,143.429346,12.98,1.8,CAT_023444,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776909987000000000|39.7261|143.4293|12.98|1.8,False
M3,Snet_catalog_relocate.csv,2026-04-23T02:17:53.850000Z,2026-04-23 02:17:53.850000+00:00,39.616504,143.23929,12.51,1.2,CAT_023445,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776910674000000000|39.6165|143.2393|12.51|1.2,False
M3,Snet_catalog_relocate.csv,2026-04-23T02:26:44.370000Z,2026-04-23 02:26:44.370000+00:00,39.907365,142.950667,18.43,1.7,CAT_023446,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776911204000000000|39.9074|142.9507|18.43|1.7,False
M3,Snet_catalog_relocate.csv,2026-04-23T02:30:02.450000Z,2026-04-23 02:30:02.450000+00:00,39.751811,143.444287,12.4,2.2,CAT_023447,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776911402000000000|39.7518|143.4443|12.4|2.2,False
M3,Snet_catalog_relocate.csv,2026-04-23T02:32:54.670000Z,2026-04-23 02:32:54.670000+00:00,39.827686,143.269678,6.03,1.5,CAT_023448,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776911575000000000|39.8277|143.2697|6.03|1.5,False
M3,Snet_catalog_relocate.csv,2026-04-23T02:50:51.190000Z,2026-04-23 02:50:51.190000+00:00,39.897725,143.223763,0.34,1.4,CAT_023450,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776912651000000000|39.8977|143.2238|0.34|1.4,False
M3,Snet_catalog_relocate.csv,2026-04-23T02:57:19.990000Z,2026-04-23 02:57:19.990000+00:00,39.631755,143.166357,16.5,2.3,CAT_023452,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776913040000000000|39.6318|143.1664|16.5|2.3,False
M3,Snet_catalog_relocate.csv,2026-04-23T03:00:13.440000Z,2026-04-23 03:00:13.440000+00:00,39.756458,143.440283,12.22,2.5,CAT_023453,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776913213000000000|39.7565|143.4403|12.22|2.5,False
M3,Snet_catalog_relocate.csv,2026-04-23T03:02:05.240000Z,2026-04-23 03:02:05.240000+00:00,40.157023,143.343001,7.72,1.2,CAT_023454,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776913325000000000|40.157|143.343|7.72|1.2,False
M3,Snet_catalog_relocate.csv,2026-04-23T03:11:53.220000Z,2026-04-23 03:11:53.220000+00:00,39.958993,142.871387,25.45,1.9,CAT_023456,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776913913000000000|39.959|142.8714|25.45|1.9,False
M3,Snet_catalog_relocate.csv,2026-04-23T03:13:19.710000Z,2026-04-23 03:13:19.710000+00:00,39.883907,143.044906,12.41,1.3,CAT_023457,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776914000000000000|39.8839|143.0449|12.41|1.3,False
M3,Snet_catalog_relocate.csv,2026-04-23T03:14:55.070000Z,2026-04-23 03:14:55.070000+00:00,39.943392,143.027376,18.84,1.8,CAT_023458,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776914095000000000|39.9434|143.0274|18.84|1.8,False
M3,Snet_catalog_relocate.csv,2026-04-23T03:25:13.750000Z,2026-04-23 03:25:13.750000+00:00,39.930619,143.029687,18.08,1.7,CAT_023461,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776914714000000000|39.9306|143.0297|18.08|1.7,False
M3,Snet_catalog_relocate.csv,2026-04-23T03:30:54.180000Z,2026-04-23 03:30:54.180000+00:00,39.821187,143.283724,5.86,1.8,CAT_023463,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776915054000000000|39.8212|143.2837|5.86|1.8,False
M3,Snet_catalog_relocate.csv,2026-04-23T03:32:41.420000Z,2026-04-23 03:32:41.420000+00:00,39.715841,143.218555,14.81,1.5,CAT_023464,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776915161000000000|39.7158|143.2186|14.81|1.5,False
M3,Snet_catalog_relocate.csv,2026-04-23T03:39:40.390000Z,2026-04-23 03:39:40.390000+00:00,39.709957,143.475033,11.57,0.7,CAT_023465,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776915580000000000|39.71|143.475|11.57|0.7,False
