event_code,mechanism_origin_time,matched_event_id,time_residual_seconds,distance_residual_km,depth_residual_km,mag_residual,within_primary_tolerance,ambiguity_flag,focal_mech_projection,focal_mech_score,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,region_name
J2025121211473436,2025-12-12 02:47:34.360000+00:00,EVT_006638,0.03,0.1658302733599577,0.1999999999999993,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121211475673,2025-12-12 02:47:56.730000+00:00,EVT_006639,0.01,0.16956331827226306,0.0600000000000005,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121211485618,2025-12-12 02:48:56.180000+00:00,EVT_006640,0.02,0.1149556611655489,0.029999999999997584,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121211493371,2025-12-12 02:49:33.710000+00:00,EVT_006641,0.01,0.11806383171061935,0.15000000000000036,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121211505272,2025-12-12 02:50:52.720000+00:00,EVT_006643,0.01,0.044508483627066824,0.5400000000000009,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121211510829,2025-12-12 02:51:08.290000+00:00,EVT_006644,0.01,0.10754435724433516,0.22999999999999865,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121211524296,2025-12-12 02:52:42.960000+00:00,EVT_006646,0.01,0.09616595427022276,0.13000000000000256,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121211590303,2025-12-12 02:59:03.030000+00:00,EVT_006655,0.0,0.0472648023750838,0.21000000000000085,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121212001708,2025-12-12 03:00:17.080000+00:00,EVT_006657,0.01,0.08203234654873831,0.3099999999999987,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121212063434,2025-12-12 03:06:34.340000+00:00,EVT_006666,0.0,0.11523270114392023,0.019999999999999574,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025121212120318,2025-12-12 03:12:03.180000+00:00,EVT_006673,0.0,0.02179540893154158,0.33999999999999986,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
