event_id,origin_time,latitude,longitude,depth_km,magnitude,region,npicks
175,2025-06-02T05:18:20.450000Z,40.000500,141.687500,57.780,0.60,NORTHERN IWATE PREF,19
176,2025-06-02T05:26:55.070000Z,42.075000,142.572500,46.020,0.90,S OFF URAKAWA,10
177,2025-06-02T05:45:50.940000Z,42.312167,144.475833,13.590,1.30,SE OFF TOKACHI,6
178,2025-06-02T05:52:54.120000Z,41.805000,143.382667,35.330,0.90,SE OFF ERIMOMISAKI,10
179,2025-06-02T05:54:22.330000Z,39.660333,142.590667,32.590,1.30,E OFF IWATE PREF,24
180,2025-06-02T05:58:27.320000Z,42.326500,144.462167,8.010,2.00,SE OFF TOKACHI,24
181,2025-06-02T06:01:44.380000Z,41.699000,143.767833,24.340,1.50,SE OFF ERIMOMISAKI,22
182,2025-06-02T06:12:36.170000Z,41.115333,143.168167,18.490,0.90,E OFF AOMORI PREF,11
183,2025-06-02T06:26:47.890000Z,41.533667,142.971667,26.080,0.50,E OFF AOMORI PREF,5
184,2025-06-02T06:44:24.050000Z,39.871000,142.436667,12.220,1.60,E OFF IWATE PREF,32
185,2025-06-02T06:56:30.520000Z,41.673167,143.814000,15.280,1.70,SE OFF ERIMOMISAKI,22
186,2025-06-02T07:16:49.300000Z,39.066167,144.410500,25.720,1.70,FAR E OFF NORTH HONSHU,25
187,2025-06-02T07:34:45.890000Z,39.439500,142.346667,37.810,1.00,E OFF IWATE PREF,25
188,2025-06-02T07:38:20.060000Z,42.234167,144.045167,61.550,2.60,SE OFF TOKACHI,32
189,2025-06-02T07:45:54.940000Z,42.304333,144.403667,18.540,1.50,SE OFF TOKACHI,19
190,2025-06-02T07:57:31.780000Z,42.309833,144.405500,14.030,1.50,SE OFF TOKACHI,19
191,2025-06-02T08:00:38.620000Z,41.708667,143.763333,8.020,1.60,SE OFF ERIMOMISAKI,20
192,2025-06-02T08:07:30.650000Z,42.324833,144.459667,14.780,1.20,SE OFF TOKACHI,14
193,2025-06-02T08:15:51.310000Z,41.678833,143.794167,26.000,0.90,SE OFF ERIMOMISAKI,12
194,2025-06-02T10:53:13.040000Z,38.652000,142.395167,44.260,2.20,E OFF MIYAGI PREF,34
195,2025-06-02T11:12:53.670000Z,41.699167,143.775167,14.450,1.40,SE OFF ERIMOMISAKI,20
196,2025-06-02T11:15:29.600000Z,42.313500,144.439000,15.710,1.70,SE OFF TOKACHI,31
