origin_time,latitude,longitude,depth_km,magnitude,event_id,time_since_M1_days,time_before_M3_days,distance_to_M1_km,distance_to_M2_km,distance_to_M3_km,along_axis_km,perpendicular_distance_km,axis_length_km,axis_fraction,nearest_endpoint,in_M1_core_30km,in_M3_core_30km,in_M1_extended_60km,in_M3_extended_60km,in_local_union_60km,in_corridor_20km,in_corridor_30km,off_corridor_local,M2_related_100km,M2_ambiguous_overlap,spatial_category,window__pre_M1_baseline_14d,window__pre_M1_baseline_7d,window__M1_related_primary,window__M1_related_sensitivity_narrow,window__M1_related_sensitivity_broad,window__full_M1_to_M3,window__middle_primary,window__pre_M3_primary,window__pre_M3_sensitivity_42d,window__pre_M3_sensitivity_28d,window__post_M3_7d,window__post_M3_14d
2026-04-22 09:49:03.210000+00:00,39.793982,143.361751,14.84,3.9,evt_023155,164.07319409722223,-2.080615162037037,45.328229130159,159.10011722401526,18.284111561064044,43.427982882917476,12.154982128287278,57.16418144737492,0.7597061968410599,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:53:21.870000+00:00,39.688407,143.430973,12.06,2.3,evt_023156,164.07618784722223,-2.083608912037037,32.507351550161836,172.13644661942314,28.983532952608062,30.376190396679675,11.077951991905653,57.16418144737492,0.5313850321576608,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 09:56:54.390000+00:00,39.68964,143.168766,13.48,1.4,evt_023157,164.07864756944446,-2.0860686342592594,43.17486376095754,160.55949695799092,16.97148078809174,42.295948648205865,7.986035563707073,57.16418144737492,0.7399029878026561,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:02:11.600000+00:00,40.139783,143.363314,12.89,1.0,evt_023159,164.08231898148148,-2.0897400462962965,82.95170232430574,129.3601984226197,37.48763986582039,75.90087541242661,32.34326523483303,57.16418144737492,1.3277698287746953,M3,False,False,False,True,True,False,False,True,False,False,off-corridor_local,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:09:54.220000+00:00,39.608386,143.487988,8.9,1.2,evt_023160,164.08767337962962,-2.0950944444444444,23.006969481088383,182.2472304499614,38.419503550037625,20.278799178882164,10.59351342100702,57.16418144737492,0.3547466029501486,M1,True,False,True,True,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:11:02.560000+00:00,39.680103,143.126921,16.14,1.7,evt_023161,164.08846435185185,-2.0958854166666665,44.92759188795642,159.8926350989702,18.184799907184335,43.28215186551961,11.593471259134272,57.16418144737492,0.7571551060407461,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:12:34.890000+00:00,39.163965,143.449007,10.98,1.2,evt_023162,164.08953298611112,-2.096954050925926,26.93480035495819,223.6041355419151,79.44753103183503,-19.790760475249463,18.050517020278697,57.16418144737492,-0.3462091116177137,M1,True,False,True,False,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:16:39.870000+00:00,39.843673,143.206673,11.52,1.9,evt_023164,164.09236840277777,-2.0997894675925926,55.44018561833161,147.24067583218508,4.244959760061767,55.085507436129845,3.7221982516117613,57.16418144737492,0.9636367746617924,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:18:29.670000+00:00,39.901046,143.03597,13.42,1.2,evt_023165,164.0936392361111,-2.101060300925926,68.59652392207079,134.47137653584724,12.238876267033014,68.16937081857198,5.404929608409564,57.16418144737492,1.1925189706657198,M3,False,True,False,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:22:29.820000+00:00,39.707377,143.215495,15.16,1.8,evt_023166,164.09641875,-2.103839814814815,42.16174768478762,160.71100444524473,15.782045365740602,41.86158350721978,3.5461500489512474,57.16418144737492,0.7323044334284285,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:23:37.300000+00:00,39.797587,143.36499,13.13,0.8,evt_023167,164.09719976851852,-2.104620833333333,45.63896343446683,158.92728482656835,18.43702213374454,43.62143919108637,12.600635758531977,57.16418144737492,0.7630904193256761,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:31:20.620000+00:00,39.16853,143.451302,12.62,2.3,evt_023168,164.1025622685185,-2.1099833333333335,26.399544777566803,223.23393660804354,79.02841338445427,-19.464462922338132,17.618026120492807,57.16418144737492,-0.3405010345553015,M1,True,False,True,False,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:32:26.780000+00:00,39.860079,143.165934,7.94,1.5,evt_023169,164.10332800925926,-2.110749074074074,58.71628321608039,143.8784294157272,2.1500989372013395,58.463411923587216,1.701503506911358,57.16418144737492,1.022728051785511,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:37:07.040000+00:00,39.727433,143.434554,12.79,1.0,evt_023171,164.10657175925925,-2.113992824074074,36.71550161494061,168.7258785523858,26.92136715829384,33.88771324600948,13.604801490707123,57.16418144737492,0.5928137583358271,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:40:06.230000+00:00,39.458659,143.500716,8.34,1.8,evt_023172,164.1086457175926,-2.1160667824074073,6.323268545012814,196.8990382160056,51.79660975961466,5.615051248768727,2.8305327313238564,57.16418144737492,0.09822674105703616,M1,True,False,True,True,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:43:33.890000+00:00,39.688485,143.211621,12.33,1.2,evt_023173,164.11104918981482,-2.1184702546296297,40.69703037350743,162.39320225462245,17.696994463190368,40.25805676125125,4.925576336347731,57.16418144737492,0.704253183408436,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:46:30.840000+00:00,39.903927,143.016032,13.23,2.2,evt_023174,164.11309722222222,-2.120518287037037,69.8687839809235,133.40052022532686,13.86136347721847,69.33804609707539,6.692735927585677,57.16418144737492,1.2129631587729053,M3,False,True,False,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:49:05.550000+00:00,39.688908,143.210368,12.59,1.8,evt_023175,164.11488784722223,-2.122308912037037,40.80069802415196,162.30069012039652,17.623603150427762,40.35427124978437,4.9924631094338245,57.16418144737492,0.7059363088568725,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:50:46.530000+00:00,39.459493,143.443604,11.35,2.0,evt_023176,164.1160565972222,-2.123477662037037,8.397369833626486,194.32688586691305,49.10315395418612,8.264538460783633,1.2890204218355548,57.16418144737492,0.14457547106472485,M1,True,False,True,True,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 10:59:29.410000+00:00,40.183403,142.888656,4.28,2.2,evt_023177,164.12210844907406,-2.129529513888889,101.68787950221625,100.91966920249091,44.31033277294295,101.37352947789665,0.23547122989532454,57.16418144737492,1.7733749860692163,M3,False,False,False,True,True,True,True,False,False,False,corridor_noncore,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 11:01:13.240000+00:00,39.892676,143.094792,16.58,2.2,evt_023178,164.12331018518518,-2.13073125,64.98010818560547,137.69482497216097,7.7420655601820805,64.73369361994611,1.5980576480459021,57.16418144737492,1.1324170482444438,M3,False,True,False,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 11:03:46.150000+00:00,39.761019,143.747282,12.6,1.9,evt_023179,164.12507997685185,-2.1325010416666665,44.91911325175326,182.47212966625503,51.223806304226194,22.970469287250673,38.377043627451485,57.16418144737492,0.4018332582685047,M1,False,False,True,True,True,False,False,True,False,False,off-corridor_local,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 11:04:18.250000+00:00,40.062744,143.425781,8.13,2.2,evt_023180,164.12545150462964,-2.1328725694444444,73.79891088926902,139.22092876455156,33.57661784708956,65.83868792854815,32.429816490316156,57.16418144737492,1.1517472350961404,M3,False,False,False,True,True,False,False,True,False,False,off-corridor_local,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 11:15:23.360000+00:00,39.656144,143.27028,9.45,1.2,evt_023181,164.13314953703704,-2.1405706018518518,34.796261941514004,167.9711124244037,22.82289633154592,34.573811920501576,2.5221489975263296,57.16418144737492,0.6048160061966437,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
